from_id,to_id,from_fraction
AL,01001,0.01137
AL,01003,0.04461
AL,01005,0.00511
AL,01007,0.00457
AL,01009,0.0118
AL,01011,0.00208
AL,01013,0.00403
AL,01015,0.02336
AL,01017,0.00683
AL,01019,0.00532
AL,01021,0.00902
AL,01023,0.00261
AL,01025,0.00488
AL,01027,0.00272
AL,01029,0.00306
AL,01031,0.01068
AL,01033,0.01123
AL,01035,0.0025
AL,01037,0.00219
AL,01039,0.00758
AL,01041,0.00283
AL,01043,0.01703
AL,01045,0.01007
AL,01047,0.0078
AL,01049,0.0146
AL,01051,0.01666
AL,01053,0.00752
AL,01055,0.02099
AL,01057,0.00335
AL,01059,0.00646
AL,01061,0.00539
AL,01063,0.00168
AL,01065,0.00302
AL,01067,0.0035
AL,01069,0.02152
AL,01071,0.01058
AL,01073,0.13459
AL,01075,0.00283
AL,01077,0.01898
AL,01079,0.00674
AL,01081,0.03341
AL,01083,0.01981
AL,01085,0.00203
AL,01087,0.00377
AL,01089,0.07514
AL,01091,0.00391
AL,01093,0.00609
AL,01095,0.01965
AL,01097,0.0846
AL,01099,0.00429
AL,01101,0.04628
AL,01103,0.02439
AL,01105,0.00186
AL,01107,0.0041
AL,01109,0.0068
AL,01111,0.00465
AL,01113,0.01184
AL,01115,0.01817
AL,01117,0.04421
AL,01119,0.00257
AL,01121,0.0164
AL,01123,0.00827
AL,01125,0.04268
AL,01127,0.01304
AL,01129,0.00334
AL,01131,0.00216
AL,01133,0.00485
AZ,04001,0.01
AZ,04003,0.01762
AZ,04005,0.01983
AZ,04007,0.00751
AZ,04009,0.00534
AZ,04011,0.00132
AZ,04012,0.00293
AZ,04013,0.61511
AZ,04015,0.02941
AZ,04017,0.01537
AZ,04019,0.14475
AZ,04021,0.06239
AZ,04023,0.00649
AZ,04025,0.03239
AZ,04027,0.02954
AR,05001,0.0059
AR,05003,0.00664
AR,05005,0.01384
AR,05007,0.09081
AR,05009,0.01246
AR,05011,0.00359
AR,05013,0.00171
AR,05015,0.00932
AR,05017,0.00346
AR,05019,0.00742
AR,05021,0.00488
AR,05023,0.00832
AR,05025,0.00268
AR,05027,0.00784
AR,05029,0.00694
AR,05031,0.03622
AR,05033,0.02096
AR,05035,0.01606
AR,05037,0.0055
AR,05039,0.00236
AR,05041,0.00383
AR,05043,0.00606
AR,05045,0.04144
AR,05047,0.0059
AR,05049,0.00408
AR,05051,0.03288
AR,05053,0.00605
AR,05055,0.01501
AR,05057,0.0072
AR,05059,0.01118
AR,05061,0.0044
AR,05063,0.01248
AR,05065,0.00451
AR,05067,0.00561
AR,05069,0.02262
AR,05071,0.00879
AR,05073,0.00223
AR,05075,0.00548
AR,05077,0.00298
AR,05079,0.00441
AR,05081,0.0041
AR,05083,0.00718
AR,05085,0.02429
AR,05087,0.00544
AR,05089,0.00551
AR,05091,0.01445
AR,05093,0.01374
AR,05095,0.00228
AR,05097,0.00298
AR,05099,0.00274
AR,05101,0.00257
AR,05103,0.00783
AR,05105,0.00343
AR,05107,0.00603
AR,05109,0.00356
AR,05111,0.00788
AR,05113,0.00664
AR,05115,0.02122
AR,05117,0.0027
AR,05119,0.13055
AR,05121,0.00595
AR,05123,0.00846
AR,05125,0.04017
AR,05127,0.00341
AR,05129,0.00262
AR,05131,0.04239
AR,05133,0.00563
AR,05135,0.00572
AR,05137,0.00418
AR,05139,0.01298
AR,05141,0.0055
AR,05143,0.07842
AR,05145,0.02614
AR,05147,0.00215
AR,05149,0.00711
CA,06001,0.04223
CA,06003,3e-05
CA,06005,0.00099
CA,06007,0.00568
CA,06009,0.00116
CA,06011,0.00055
CA,06013,0.02917
CA,06015,0.0007
CA,06017,0.00484
CA,06019,0.02517
CA,06021,0.00071
CA,06023,0.00346
CA,06025,0.00459
CA,06027,0.00046
CA,06029,0.02268
CA,06031,0.00384
CA,06033,0.00163
CA,06035,0.00078
CA,06037,0.25518
CA,06039,0.00396
CA,06041,0.00659
CA,06043,0.00044
CA,06045,0.00221
CA,06047,0.00696
CA,06049,0.00023
CA,06051,0.00037
CA,06053,0.011
CA,06055,0.00352
CA,06057,0.00253
CA,06059,0.08058
CA,06061,0.00996
CA,06063,0.00048
CA,06065,0.06196
CA,06067,0.03909
CA,06069,0.00156
CA,06071,0.05496
CA,06073,0.08448
CA,06075,0.02223
CA,06077,0.0191
CA,06079,0.00718
CA,06081,0.01946
CA,06083,0.01131
CA,06085,0.04891
CA,06087,0.00694
CA,06089,0.00456
CA,06091,7e-05
CA,06093,0.00111
CA,06095,0.0113
CA,06097,0.01263
CA,06099,0.01388
CA,06101,0.00245
CA,06103,0.00163
CA,06105,0.00032
