from_id,to_id,from_fraction
elec_cooling,district_cooling_cooling,1
ng_heating,district_heating_heating,1
ng_water_heating,district_heating_water_systems,1
elec_cooling,electricity_cooling,1
elec_lighting,electricity_exterior_lighting,1
elec_ventilation,electricity_fans,1
elec_heating,electricity_heat_recovery,1
elec_cooling,electricity_heat_rejection,1
elec_heating,electricity_heating,1
elec_cooking,electricity_interior_equipment,0.25
elec_office_equip_pcs,electricity_interior_equipment,0.25
elec_office_equip_nonpcs,electricity_interior_equipment,0.25
elec_other,electricity_interior_equipment,0.25
elec_lighting,electricity_interior_lighting,1
elec_cooling,electricity_pumps,0.5
elec_heating,electricity_pumps,0.5
elec_refrigeration,electricity_refrigeration,1
elec_water_heating,electricity_water_systems,1
fuel_oil_heating,fuel_oil_heating,1
fuel_oil_water_heating,fuel_oil_water_systems,1
ng_heating,natural_gas_heating,1
ng_cooking,natural_gas_interior_equipment,0.5
ng_other,natural_gas_interior_equipment,0.5
ng_water_heating,natural_gas_water_systems,1
fuel_oil_heating,propane_heating,1
fuel_oil_water_heating,propane_water_systems,1
