from_id,to_id,from_fraction
elec_heat_cool,electricity_bath_fan,1
elec_heat_cool,electricity_ceiling_fan,1
elec_heat_cool,electricity_cooling,1
elec_heat_cool,electricity_fans_cooling,1
elec_heat_cool,electricity_fans_heating,1
elec_heat_cool,electricity_heating,1
elec_heat_cool,electricity_heating_supplemental,1
elec_heat_cool,electricity_house_fan,1
elec_heat_cool,electricity_pumps_cooling,1
elec_heat_cool,electricity_pumps_heating,1
elec_heat_cool,electricity_range_fan,1
elec_light,electricity_exterior_holiday_lighting,1
elec_light,electricity_exterior_lighting,1
elec_light,electricity_garage_lighting,1
elec_light,electricity_interior_lighting,1
elec_major_appnc,electricity_clothes_dryer,1
elec_major_appnc,electricity_clothes_washer,1
elec_major_appnc,electricity_cooking_range,1
elec_major_appnc,electricity_dishwasher,1
elec_major_appnc,electricity_hot_tub_heater,1
elec_major_appnc,electricity_hot_tub_pump,1
elec_major_appnc,electricity_pool_heater,1
elec_major_appnc,electricity_pool_pump,1
elec_major_appnc,electricity_recirc_pump,1
elec_major_appnc,electricity_water_systems,1
elec_major_appnc,electricity_well_pump,1
elec_other,electricity_plug_loads,0.5
elec_plug_loads,electricity_plug_loads,0.5
elec_refrigeration,electricity_extra_refrigerator,1
elec_refrigeration,electricity_freezer,1
elec_refrigeration,electricity_refrigerator,1
fuel_oil_heat_cool,fuel_oil_heating,1
fuel_oil_major_appnc,fuel_oil_water_systems,1
lpg_heat_cool,propane_heating,1
lpg_major_appnc,propane_clothes_dryer,1
lpg_major_appnc,propane_cooking_range,1
lpg_major_appnc,propane_water_systems,1
ng_heat_cool,natural_gas_heating,1
ng_major_appnc,natural_gas_clothes_dryer,1
ng_major_appnc,natural_gas_cooking_range,1
ng_major_appnc,natural_gas_fireplace,1
ng_major_appnc,natural_gas_grill,1
ng_major_appnc,natural_gas_hot_tub_heater,1
ng_major_appnc,natural_gas_pool_heater,1
ng_major_appnc,natural_gas_water_systems,1
ng_other,natural_gas_lighting,1
other_heat_cool,wood_heating,1
