from_id,to_id
2013_2050,2010
2013_2050,2011
2013_2050,2012
2013_2050,2013
2013_2050,2014
2013_2050,2015
2013_2050,2016
2013_2050,2017
2013_2050,2018
2013_2050,2019
2013_2050,2020
2013_2050,2021
2013_2050,2022
2013_2050,2023
2013_2050,2024
2013_2050,2025
2013_2050,2026
2013_2050,2027
2013_2050,2028
2013_2050,2029
2013_2050,2030
2013_2050,2031
2013_2050,2032
2013_2050,2033
2013_2050,2034
2013_2050,2035
2013_2050,2036
2013_2050,2037
2013_2050,2038
2013_2050,2039
2013_2050,2040
2013_2050,2041
2013_2050,2042
2013_2050,2043
2013_2050,2044
2013_2050,2045
2013_2050,2046
2013_2050,2047
2013_2050,2048
2013_2050,2049
2013_2050,2050
