id,name,fuel_id,unit
elec_plug_loads,Annual Growth Factor in Electricity - Plug Loads,electricity,
elec_heat_cool,Annual Growth Factor in Electricity - Space Heating And Cooling,electricity,
elec_major_appnc,Annual Growth Factor in Electricity - Major Appliance,electricity,
elec_other,Annual Growth Factor in Electricity - Other,electricity,
elec_refrigeration,Annual Growth Factor in Electricity - Refrigeration,electricity,
elec_light,Annual Growth Factor in Electricity - Lighting,electricity,
ng_major_appnc,Annual Growth Factor in Natural Gas - Major Appliance,natural_gas,
ng_heat_cool,Annual Growth Factor in Natural Gas - Space Heating And Cooling,natural_gas,
ng_light,Annual Growth Factor in Natural Gas - Light,natural_gas,
ng_other,Annual Growth Factor in Natural Gas - Other,natural_gas,
fuel_oil_heat_cool,Annual Growth Factor in Distillate Fuel Oil - Space Heating And Cooling,fuel_oil,
fuel_oil_major_appnc,Annual Growth Factor in Distillate Fuel Oil - Major Appliance,fuel_oil,
fuel_oil_other,Annual Growth Factor in Distillate Fuel Oil - Other,fuel_oil,
lpg_major_appnc,Annual Growth Factor in Liquefied Propane Gas - Major Appliance,propane,
lpg_heat_cool,Annual Growth Factor in Liquefied Propane Gas - Space Heating And Cooling,propane,
lpg_other,Annual Growth Factor in Liquefied Propane Gas - Other,propane,
other_heat_cool,Annual Growth Factor in Other Fuels - Space Heating And Cooling,other_fuel,
other_major_appnc,Annual Growth Factor in Other Fuels - Major Appliance,other_fuel,
