id,name,state,time_zone
G0100010,Autauga County,AL,CentralPrevailing
G0100030,Baldwin County,AL,CentralPrevailing
G0100050,Barbour County,AL,CentralPrevailing
G0100070,Bibb County,AL,CentralPrevailing
G0100090,Blount County,AL,CentralPrevailing
G0100110,Bullock County,AL,CentralPrevailing
G0100130,Butler County,AL,CentralPrevailing
G0100150,Calhoun County,AL,CentralPrevailing
G0100170,Chambers County,AL,CentralPrevailing
G0100190,Cherokee County,AL,CentralPrevailing
G0100210,Chilton County,AL,CentralPrevailing
G0100230,Choctaw County,AL,CentralPrevailing
G0100250,Clarke County,AL,CentralPrevailing
G0100270,Clay County,AL,CentralPrevailing
G0100290,Cleburne County,AL,CentralPrevailing
G0100310,Coffee County,AL,CentralPrevailing
G0100330,Colbert County,AL,CentralPrevailing
G0100350,Conecuh County,AL,CentralPrevailing
G0100370,Coosa County,AL,CentralPrevailing
G0100390,Covington County,AL,CentralPrevailing
G0100410,Crenshaw County,AL,CentralPrevailing
G0100430,Cullman County,AL,CentralPrevailing
G0100450,Dale County,AL,CentralPrevailing
G0100470,Dallas County,AL,CentralPrevailing
G0100490,DeKalb County,AL,CentralPrevailing
G0100510,Elmore County,AL,CentralPrevailing
G0100530,Escambia County,AL,CentralPrevailing
G0100550,Etowah County,AL,CentralPrevailing
G0100570,Fayette County,AL,CentralPrevailing
G0100590,Franklin County,AL,CentralPrevailing
G0100610,Geneva County,AL,CentralPrevailing
G0100630,Greene County,AL,CentralPrevailing
G0100650,Hale County,AL,CentralPrevailing
G0100670,Henry County,AL,CentralPrevailing
G0100690,Houston County,AL,CentralPrevailing
G0100710,Jackson County,AL,CentralPrevailing
G0100730,Jefferson County,AL,CentralPrevailing
G0100750,Lamar County,AL,CentralPrevailing
G0100770,Lauderdale County,AL,CentralPrevailing
G0100790,Lawrence County,AL,CentralPrevailing
G0100810,Lee County,AL,CentralPrevailing
G0100830,Limestone County,AL,CentralPrevailing
G0100850,Lowndes County,AL,CentralPrevailing
G0100870,Macon County,AL,CentralPrevailing
G0100890,Madison County,AL,CentralPrevailing
G0100910,Marengo County,AL,CentralPrevailing
G0100930,Marion County,AL,CentralPrevailing
G0100950,Marshall County,AL,CentralPrevailing
G0100970,Mobile County,AL,CentralPrevailing
G0100990,Monroe County,AL,CentralPrevailing
G0101010,Montgomery County,AL,CentralPrevailing
G0101030,Morgan County,AL,CentralPrevailing
G0101050,Perry County,AL,CentralPrevailing
G0101070,Pickens County,AL,CentralPrevailing
G0101090,Pike County,AL,CentralPrevailing
G0101110,Randolph County,AL,CentralPrevailing
G0101130,Russell County,AL,CentralPrevailing
G0101150,St. Clair County,AL,CentralPrevailing
G0101170,Shelby County,AL,CentralPrevailing
G0101190,Sumter County,AL,CentralPrevailing
G0101210,Talladega County,AL,CentralPrevailing
G0101230,Tallapoosa County,AL,CentralPrevailing
G0101250,Tuscaloosa County,AL,CentralPrevailing
G0101270,Walker County,AL,CentralPrevailing
G0101290,Washington County,AL,CentralPrevailing
G0101310,Wilcox County,AL,CentralPrevailing
G0101330,Winston County,AL,CentralPrevailing
G0400010,Apache County,AZ,USArizona
G0400030,Cochise County,AZ,USArizona
G0400050,Coconino County,AZ,USArizona
G0400070,Gila County,AZ,USArizona
G0400090,Graham County,AZ,USArizona
G0400110,Greenlee County,AZ,USArizona
G0400120,La Paz County,AZ,USArizona
G0400130,Maricopa County,AZ,USArizona
G0400150,Mohave County,AZ,USArizona
G0400170,Navajo County,AZ,MountainPrevailing
G0400190,Pima County,AZ,USArizona
G0400210,Pinal County,AZ,USArizona
G0400230,Santa Cruz County,AZ,USArizona
G0400250,Yavapai County,AZ,USArizona
G0400270,Yuma County,AZ,USArizona
G0500010,Arkansas County,AR,CentralPrevailing
G0500030,Ashley County,AR,CentralPrevailing
G0500050,Baxter County,AR,CentralPrevailing
G0500070,Benton County,AR,CentralPrevailing
G0500090,Boone County,AR,CentralPrevailing
G0500110,Bradley County,AR,CentralPrevailing
G0500130,Calhoun County,AR,CentralPrevailing
G0500150,Carroll County,AR,CentralPrevailing
G0500170,Chicot County,AR,CentralPrevailing
G0500190,Clark County,AR,CentralPrevailing
G0500210,Clay County,AR,CentralPrevailing
G0500230,Cleburne County,AR,CentralPrevailing
G0500250,Cleveland County,AR,CentralPrevailing
G0500270,Columbia County,AR,CentralPrevailing
G0500290,Conway County,AR,CentralPrevailing
G0500310,Craighead County,AR,CentralPrevailing
G0500330,Crawford County,AR,CentralPrevailing
G0500350,Crittenden County,AR,CentralPrevailing
G0500370,Cross County,AR,CentralPrevailing
G0500390,Dallas County,AR,CentralPrevailing
G0500410,Desha County,AR,CentralPrevailing
G0500430,Drew County,AR,CentralPrevailing
G0500450,Faulkner County,AR,CentralPrevailing
G0500470,Franklin County,AR,CentralPrevailing
G0500490,Fulton County,AR,CentralPrevailing
G0500510,Garland County,AR,CentralPrevailing
G0500530,Grant County,AR,CentralPrevailing
G0500550,Greene County,AR,CentralPrevailing
G0500570,Hempstead County,AR,CentralPrevailing
G0500590,Hot Spring County,AR,CentralPrevailing
G0500610,Howard County,AR,CentralPrevailing
G0500630,Independence County,AR,CentralPrevailing
G0500650,Izard County,AR,CentralPrevailing
G0500670,Jackson County,AR,CentralPrevailing
G0500690,Jefferson County,AR,CentralPrevailing
G0500710,Johnson County,AR,CentralPrevailing
G0500730,Lafayette County,AR,CentralPrevailing
G0500750,Lawrence County,AR,CentralPrevailing
G0500770,Lee County,AR,CentralPrevailing
G0500790,Lincoln County,AR,CentralPrevailing
G0500810,Little River County,AR,CentralPrevailing
