from_id,to_id,from_fraction
2018,2010,0
2018,2011,0
2018,2012,0
2018,2013,0
2018,2014,0
2018,2015,0
2018,2016,0
2018,2017,0
2018,2018,1
2018,2019,0.5
2020,2019,0.5
2020,2020,1
2020,2021,0.5
2022,2021,0.5
2022,2022,1
2022,2023,0.5
2024,2023,0.5
2024,2024,1
2024,2025,0.5
2026,2025,0.5
2026,2026,1
2026,2027,0.5
2028,2027,0.5
2028,2028,1
2028,2029,0.5
2030,2029,0.5
2030,2030,1
2030,2031,0.5
2032,2031,0.5
2032,2032,1
2032,2033,0.5
2034,2033,0.5
2034,2034,1
2034,2035,0.5
2036,2035,0.5
2036,2036,1
2036,2037,0.5
2038,2037,0.5
2038,2038,1
2038,2039,0.5
2040,2039,0.5
2040,2040,1
2040,2041,0.5
2042,2041,0.5
2042,2042,1
2042,2043,0.5
2044,2043,0.5
2044,2044,1
2044,2045,0.5
2046,2045,0.5
2046,2046,1
2046,2047,0.5
2048,2047,0.5
2048,2048,1
2048,2049,0.5
2050,2049,0.5
2050,2050,1
