geography,subsector,elec_heating,elec_cooling,elec_water_heating,elec_ventilation,elec_cooking,elec_lighting,elec_refrigeration,elec_office_equip_pcs,elec_office_equip_nonpcs,elec_other,ng_heating,ng_cooling,ng_water_heating,ng_cooking,ng_other,fuel_oil_heating,fuel_oil_cooling,fuel_oil_water_heating,fuel_oil_other
east_north_central,assembly,-0.022470345,-0.002567699,-0.025692591,-0.020481078,-0.012658887,-0.02963614,-0.004286599,-0.00822076,0.016733801,-0.003405912,-0.007399416,0.049316403,0.002407927,0.01636635,0.000682339,-0.018870201,0,-0.01670258,-0.001494383
east_north_central,education,-0.015127846,-0.002320858,-0.02193328,-0.012059157,-0.011819093,-0.015424744,0.000476313,-0.000361461,0.024812517,-0.000498377,0.021417809,-0.004640625,0.005526122,0.010366069,0.001363271,-0.015758244,0,0.002732334,0.004415639
east_north_central,food_sales,-0.016821443,0.002771126,-0.011425625,-0.014904719,-0.004788265,-0.01721498,0.002636967,-0.002112099,0.022983178,0.001173264,-0.00021654,0,0.00482883,0.014605845,0.012430143,-0.01060984,0,0,0.005511717
east_north_central,food_service,-0.019715775,0.004366365,-0.020566083,-0.015529672,-0.006014359,-0.015967149,-0.002358413,-0.00214315,0.023063162,0.001834257,0.005995634,0,0.001775407,0.007029729,0.082883806,-0.000825856,0,-0.015836563,0.004481915
east_north_central,health_care,-0.014213916,0.002273555,-0.020004304,-0.007301567,-0.004348833,-0.012774668,0.00344437,0.001861965,0.027097815,0.011313606,0.022620997,0.008110303,0.009039192,0.015266041,0.000852823,-0.011657386,0.012040417,0.003904,0.008330346
east_north_central,lodging,-0.010185015,0.003987956,-0.018200664,-0.01141019,-0.005224287,-0.018430303,0.002974141,0.001186482,0.02634127,0.006212086,0.009196319,0,0.005636719,0.016692192,0.005518565,-0.013323825,0,0.004922802,0.007854313
east_north_central,merc_service,-0.012590848,0.011268055,-0.015145165,-0.00383223,-0.003442438,-0.017361609,-0.000902697,-0.003428038,0.021677692,0.025514418,-0.000961535,0.008337791,0.004805935,0.00826577,0.004210889,-0.00163987,0.008418487,0.003213093,0.003288426
east_north_central,office_large,-0.018226675,0.002917477,-0.014944644,-0.015416601,-0.003122722,-0.020090738,0.000660122,-0.002971614,0.022136028,0.006244472,0.000885389,0,0.003799728,0.004988644,0.046220296,-0.014080476,0,-0.010459671,0.003750804
east_north_central,office_small,-0.015085776,-0.000124992,-0.010266984,-0.013703469,-0.001870066,-0.018457459,-0.00065388,-0.001508519,0.023649144,0.001547059,0.002631406,0,0.002488068,0.009793636,0.040274706,-0.010679663,0,0,0.005274339
east_north_central,other,-0.011494627,0.00523409,-0.012590848,-0.013754698,0,-0.018371792,-0.000681613,0.000472413,0.025802842,0.011629915,-0.00219213,-0.001523531,0.004289356,0,0.049743897,-0.011390136,0,0,0.00768949
