from_id,to_id,from_fraction
electricity_bath_fan,elec_heat_cool,1
electricity_ceiling_fan,elec_heat_cool,1
electricity_clothes_dryer,elec_major_appnc,1
electricity_clothes_washer,elec_major_appnc,1
electricity_cooking_range,elec_major_appnc,1
electricity_cooling,elec_heat_cool,1
electricity_dishwasher,elec_major_appnc,1
electricity_exterior_holiday_lighting,elec_light,1
electricity_exterior_lighting,elec_light,1
electricity_extra_refrigerator,elec_refrigeration,1
electricity_fans_cooling,elec_heat_cool,1
electricity_fans_heating,elec_heat_cool,1
electricity_freezer,elec_refrigeration,1
electricity_garage_lighting,elec_light,1
electricity_heating,elec_heat_cool,1
electricity_heating_supplemental,elec_heat_cool,1
electricity_hot_tub_heater,elec_major_appnc,1
electricity_hot_tub_pump,elec_major_appnc,1
electricity_house_fan,elec_heat_cool,1
electricity_interior_lighting,elec_light,1
electricity_plug_loads,elec_plug_loads,0.5
electricity_plug_loads,elec_other,0.5
electricity_pool_heater,elec_major_appnc,1
electricity_pool_pump,elec_major_appnc,1
electricity_pumps_cooling,elec_heat_cool,1
electricity_pumps_heating,elec_heat_cool,1
electricity_range_fan,elec_heat_cool,1
electricity_recirc_pump,elec_major_appnc,1
electricity_refrigerator,elec_refrigeration,1
electricity_water_systems,elec_major_appnc,1
electricity_well_pump,elec_major_appnc,1
fuel_oil_heating,fuel_oil_heat_cool,1
fuel_oil_water_systems,fuel_oil_major_appnc,1
natural_gas_clothes_dryer,ng_major_appnc,1
natural_gas_cooking_range,ng_major_appnc,1
natural_gas_fireplace,ng_major_appnc,1
natural_gas_grill,ng_major_appnc,1
natural_gas_heating,ng_heat_cool,1
natural_gas_hot_tub_heater,ng_major_appnc,1
natural_gas_lighting,ng_other,1
natural_gas_pool_heater,ng_major_appnc,1
natural_gas_water_systems,ng_major_appnc,1
propane_clothes_dryer,lpg_major_appnc,1
propane_cooking_range,lpg_major_appnc,1
propane_heating,lpg_heat_cool,1
propane_water_systems,lpg_major_appnc,1
wood_heating,other_heat_cool,1
