from_id,to_id
G0100010,01001
G0100030,01003
G0100050,01005
G0100070,01007
G0100090,01009
G0100110,01011
G0100130,01013
G0100150,01015
G0100170,01017
G0100190,01019
G0100210,01021
G0100230,01023
G0100250,01025
G0100270,01027
G0100290,01029
G0100310,01031
G0100330,01033
G0100350,01035
G0100370,01037
G0100390,01039
G0100410,01041
G0100430,01043
G0100450,01045
G0100470,01047
G0100490,01049
G0100510,01051
G0100530,01053
G0100550,01055
G0100570,01057
G0100590,01059
G0100610,01061
G0100630,01063
G0100650,01065
G0100670,01067
G0100690,01069
G0100710,01071
G0100730,01073
G0100750,01075
G0100770,01077
G0100790,01079
G0100810,01081
G0100830,01083
G0100850,01085
G0100870,01087
G0100890,01089
G0100910,01091
G0100930,01093
G0100950,01095
G0100970,01097
G0100990,01099
G0101010,01101
G0101030,01103
G0101050,01105
G0101070,01107
G0101090,01109
G0101110,01111
G0101130,01113
G0101150,01115
G0101170,01117
G0101190,01119
G0101210,01121
G0101230,01123
G0101250,01125
G0101270,01127
G0101290,01129
G0101310,01131
G0101330,01133
G0400010,04001
G0400030,04003
G0400050,04005
G0400070,04007
G0400090,04009
G0400110,04011
G0400120,04012
G0400130,04013
G0400150,04015
G0400170,04017
G0400190,04019
G0400210,04021
G0400230,04023
G0400250,04025
G0400270,04027
G0500010,05001
G0500030,05003
G0500050,05005
G0500070,05007
G0500090,05009
G0500110,05011
G0500130,05013
G0500150,05015
G0500170,05017
G0500190,05019
G0500210,05021
G0500230,05023
G0500250,05025
G0500270,05027
G0500290,05029
G0500310,05031
G0500330,05033
G0500350,05035
G0500370,05037
G0500390,05039
G0500410,05041
G0500430,05043
G0500450,05045
G0500470,05047
G0500490,05049
G0500510,05051
G0500530,05053
G0500550,05055
G0500570,05057
G0500590,05059
G0500610,05061
G0500630,05063
G0500650,05065
G0500670,05067
G0500690,05069
G0500710,05071
G0500730,05073
G0500750,05075
G0500770,05077
G0500790,05079
G0500810,05081
G0500830,05083
G0500850,05085
G0500870,05087
G0500890,05089
G0500910,05091
G0500930,05093
G0500950,05095
G0500970,05097
G0500990,05099
G0501010,05101
G0501030,05103
G0501050,05105
G0501070,05107
G0501090,05109
G0501110,05111
G0501130,05113
G0501150,05115
G0501170,05117
G0501190,05119
G0501210,05121
G0501230,05123
G0501250,05125
G0501270,05127
G0501290,05129
G0501310,05131
G0501330,05133
G0501350,05135
G0501370,05137
G0501390,05139
G0501410,05141
G0501430,05143
G0501450,05145
G0501470,05147
G0501490,05149
G0600010,06001
G0600030,06003
G0600050,06005
G0600070,06007
G0600090,06009
G0600110,06011
G0600130,06013
G0600150,06015
G0600170,06017
G0600190,06019
G0600210,06021
G0600230,06023
G0600250,06025
G0600270,06027
G0600290,06029
G0600310,06031
G0600330,06033
G0600350,06035
G0600370,06037
G0600390,06039
G0600410,06041
G0600430,06043
G0600450,06045
G0600470,06047
G0600490,06049
G0600510,06051
G0600530,06053
G0600550,06055
G0600570,06057
G0600590,06059
G0600610,06061
G0600630,06063
G0600650,06065
G0600670,06067
G0600690,06069
G0600710,06071
G0600730,06073
G0600750,06075
G0600770,06077
G0600790,06079
G0600810,06081
G0600830,06083
G0600850,06085
G0600870,06087
G0600890,06089
G0600910,06091
G0600930,06093
G0600950,06095
G0600970,06097
G0600990,06099
G0601010,06101
G0601030,06103
G0601050,06105
G0601070,06107
G0601090,06109
G0601110,06111
G0601130,06113
G0601150,06115
G0800010,08001
G0800030,08003
G0800050,08005
G0800070,08007
G0800090,08009
G0800110,08011
G0800130,08013
G0800140,08014
G0800150,08015
G0800170,08017
G0800190,08019
G0800210,08021
G0800230,08023
G0800250,08025
G0800270,08027
G0800290,08029
G0800310,08031
G0800330,08033
G0800350,08035
G0800370,08037
G0800390,08039
G0800410,08041
G0800430,08043
G0800450,08045
G0800470,08047
G0800490,08049
G0800510,08051
G0800530,08053
G0800550,08055
G0800570,08057
G0800590,08059
G0800610,08061
G0800630,08063
G0800650,08065
G0800670,08067
G0800690,08069
G0800710,08071
G0800730,08073
G0800750,08075
G0800770,08077
G0800790,08079
G0800810,08081
G0800830,08083
G0800850,08085
G0800870,08087
G0800890,08089
G0800910,08091
G0800930,08093
G0800950,08095
G0800970,08097
G0800990,08099
G0801010,08101
G0801030,08103
G0801050,08105
G0801070,08107
G0801090,08109
G0801110,08111
G0801130,08113
G0801150,08115
G0801170,08117
G0801190,08119
G0801210,08121
G0801230,08123
G0801250,08125
G0900010,09001
G0900030,09003
G0900050,09005
G0900070,09007
G0900090,09009
G0900110,09011
G0900130,09013
G0900150,09015
G1000010,10001
G1000030,10003
G1000050,10005
G1100010,11001
G1200010,12001
G1200030,12003
G1200050,12005
G1200070,12007
G1200090,12009
G1200110,12011
G1200130,12013
G1200150,12015
G1200170,12017
G1200190,12019
G1200210,12021
G1200230,12023
G1200270,12027
G1200290,12029
G1200310,12031
G1200330,12033
G1200350,12035
G1200370,12037
G1200390,12039
G1200410,12041
G1200430,12043
G1200450,12045
G1200470,12047
G1200490,12049
G1200510,12051
G1200530,12053
G1200550,12055
