from_id,to_id
G0100010,CST
G0100030,CST
G0100050,CST
G0100070,CST
G0100090,CST
G0100110,CST
G0100130,CST
G0100150,CST
G0100170,CST
G0100190,CST
G0100210,CST
G0100230,CST
G0100250,CST
G0100270,CST
G0100290,CST
G0100310,CST
G0100330,CST
G0100350,CST
G0100370,CST
G0100390,CST
G0100410,CST
G0100430,CST
G0100450,CST
G0100470,CST
G0100490,CST
G0100510,CST
G0100530,CST
G0100550,CST
G0100570,CST
G0100590,CST
G0100610,CST
G0100630,CST
G0100650,CST
G0100670,CST
G0100690,CST
G0100710,CST
G0100730,CST
G0100750,CST
G0100770,CST
G0100790,CST
G0100810,CST
G0100830,CST
G0100850,CST
G0100870,CST
G0100890,CST
G0100910,CST
G0100930,CST
G0100950,CST
G0100970,CST
G0100990,CST
G0101010,CST
G0101030,CST
G0101050,CST
G0101070,CST
G0101090,CST
G0101110,CST
G0101130,CST
G0101150,CST
G0101170,CST
G0101190,CST
G0101210,CST
G0101230,CST
G0101250,CST
G0101270,CST
G0101290,CST
G0101310,CST
G0101330,CST
G0400010,MST-AZ
G0400030,MST-AZ
G0400050,MST-AZ
G0400070,MST-AZ
G0400090,MST-AZ
G0400110,MST-AZ
G0400120,MST-AZ
G0400130,MST-AZ
G0400150,MST-AZ
G0400170,MST-AZ
G0400190,MST-AZ
G0400210,MST-AZ
G0400230,MST-AZ
G0400250,MST-AZ
G0400270,MST-AZ
G0500010,CST
G0500030,CST
G0500050,CST
G0500070,CST
G0500090,CST
G0500110,CST
G0500130,CST
G0500150,CST
G0500170,CST
G0500190,CST
G0500210,CST
G0500230,CST
G0500250,CST
G0500270,CST
G0500290,CST
G0500310,CST
G0500330,CST
G0500350,CST
G0500370,CST
G0500390,CST
G0500410,CST
G0500430,CST
G0500450,CST
G0500470,CST
G0500490,CST
G0500510,CST
G0500530,CST
G0500550,CST
G0500570,CST
G0500590,CST
G0500610,CST
G0500630,CST
G0500650,CST
G0500670,CST
G0500690,CST
G0500710,CST
G0500730,CST
G0500750,CST
G0500770,CST
G0500790,CST
G0500810,CST
G0500830,CST
G0500850,CST
G0500870,CST
G0500890,CST
G0500910,CST
G0500930,CST
G0500950,CST
G0500970,CST
G0500990,CST
G0501010,CST
G0501030,CST
G0501050,CST
G0501070,CST
G0501090,CST
G0501110,CST
G0501130,CST
G0501150,CST
G0501170,CST
G0501190,CST
G0501210,CST
G0501230,CST
G0501250,CST
G0501270,CST
G0501290,CST
G0501310,CST
G0501330,CST
G0501350,CST
G0501370,CST
G0501390,CST
G0501410,CST
G0501430,CST
G0501450,CST
G0501470,CST
G0501490,CST
G0600010,PST
G0600030,PST
G0600050,PST
G0600070,PST
G0600090,PST
G0600110,PST
G0600130,PST
G0600150,PST
G0600170,PST
G0600190,PST
G0600210,PST
G0600230,PST
G0600250,PST
G0600270,PST
G0600290,PST
G0600310,PST
G0600330,PST
G0600350,PST
G0600370,PST
G0600390,PST
G0600410,PST
G0600430,PST
G0600450,PST
G0600470,PST
G0600490,PST
G0600510,PST
G0600530,PST
G0600550,PST
G0600570,PST
G0600590,PST
G0600610,PST
G0600630,PST
G0600650,PST
G0600670,PST
G0600690,PST
G0600710,PST
G0600730,PST
G0600750,PST
G0600770,PST
G0600790,PST
G0600810,PST
G0600830,PST
G0600850,PST
G0600870,PST
G0600890,PST
G0600910,PST
G0600930,PST
G0600950,PST
G0600970,PST
G0600990,PST
G0601010,PST
G0601030,PST
G0601050,PST
G0601070,PST
G0601090,PST
G0601110,PST
G0601130,PST
G0601150,PST
G0800010,MST
G0800030,MST
G0800050,MST
G0800070,MST
G0800090,MST
G0800110,MST
G0800130,MST
G0800140,MST
G0800150,MST
G0800170,MST
G0800190,MST
G0800210,MST
G0800230,MST
G0800250,MST
G0800270,MST
G0800290,MST
G0800310,MST
G0800330,MST
G0800350,MST
G0800370,MST
G0800390,MST
G0800410,MST
G0800430,MST
G0800450,MST
G0800470,MST
G0800490,MST
G0800510,MST
G0800530,MST
G0800550,MST
G0800570,MST
G0800590,MST
G0800610,MST
G0800630,MST
G0800650,MST
G0800670,MST
G0800690,MST
G0800710,MST
G0800730,MST
G0800750,MST
G0800770,MST
G0800790,MST
G0800810,MST
G0800830,MST
G0800850,MST
G0800870,MST
G0800890,MST
G0800910,MST
G0800930,MST
G0800950,MST
G0800970,MST
G0800990,MST
G0801010,MST
G0801030,MST
G0801050,MST
G0801070,MST
G0801090,MST
G0801110,MST
G0801130,MST
G0801150,MST
G0801170,MST
G0801190,MST
G0801210,MST
G0801230,MST
G0801250,MST
G0900010,EST
G0900030,EST
G0900050,EST
G0900070,EST
G0900090,EST
G0900110,EST
G0900130,EST
G0900150,EST
G1000010,EST
G1000030,EST
G1000050,EST
G1100010,EST
G1200010,EST
G1200030,EST
G1200050,CST
G1200070,EST
G1200090,EST
G1200110,EST
G1200130,CST
G1200150,EST
G1200170,EST
G1200190,EST
G1200210,EST
G1200230,EST
G1200270,EST
G1200290,EST
G1200310,EST
G1200330,CST
G1200350,EST
G1200370,EST
G1200390,EST
G1200410,EST
G1200430,EST
G1200450,CST
G1200470,EST
G1200490,EST
G1200510,EST
G1200530,EST
G1200550,EST
G1200570,EST
G1200590,CST
G1200610,EST
G1200630,CST
G1200650,EST
G1200670,EST
G1200690,EST
G1200710,EST
G1200730,EST
G1200750,EST
G1200770,EST
G1200790,EST
G1200810,EST
G1200830,EST
G1200850,EST
G1200860,EST
G1200870,EST
G1200890,EST
G1200910,CST
G1200930,EST
G1200950,EST
G1200970,EST
G1200990,EST
G1201010,EST
G1201030,EST
G1201050,EST
G1201070,EST
G1201090,EST
G1201110,EST
G1201130,CST
G1201150,EST
G1201170,EST
G1201190,EST
G1201210,EST
G1201230,EST
G1201250,EST
G1201270,EST
G1201290,EST
G1201310,CST
G1201330,CST
G1300010,EST
G1300030,EST
G1300050,EST
G1300070,EST
G1300090,EST
G1300110,EST
G1300130,EST
G1300150,EST
G1300170,EST
G1300190,EST
G1300210,EST
G1300230,EST
G1300250,EST
G1300270,EST
G1300290,EST
G1300310,EST
G1300330,EST
G1300350,EST
G1300370,EST
G1300390,EST
G1300430,EST
G1300450,EST
G1300470,EST
G1300490,EST
G1300510,EST
G1300530,EST
G1300550,EST
G1300570,EST
G1300590,EST
G1300610,EST
G1300630,EST
G1300650,EST
G1300670,EST
G1300690,EST
G1300710,EST
G1300730,EST
G1300750,EST
G1300770,EST
G1300790,EST
G1300810,EST
G1300830,EST
G1300850,EST
G1300870,EST
G1300890,EST
G1300910,EST
G1300930,EST
G1300950,EST
G1300970,EST
G1300990,EST
G1301010,EST
G1301030,EST
G1301050,EST
G1301070,EST
G1301090,EST
G1301110,EST
G1301130,EST
G1301150,EST
G1301170,EST
G1301190,EST
G1301210,EST
G1301230,EST
G1301250,EST
G1301270,EST
G1301290,EST
G1301310,EST
G1301330,EST
G1301350,EST
G1301370,EST
G1301390,EST
G1301410,EST
G1301430,EST
G1301450,EST
G1301470,EST
G1301490,EST
G1301510,EST
G1301530,EST
G1301550,EST
G1301570,EST
G1301590,EST
G1301610,EST
G1301630,EST
G1301650,EST
G1301670,EST
G1301690,EST
G1301710,EST
G1301730,EST
G1301750,EST
G1301770,EST
G1301790,EST
G1301810,EST
G1301830,EST
G1301850,EST
G1301870,EST
