from_id,to_id
G0100010,CentralStandard
G0100030,CentralStandard
G0100050,CentralStandard
G0100070,CentralStandard
G0100090,CentralStandard
G0100110,CentralStandard
G0100130,CentralStandard
G0100150,CentralStandard
G0100170,EasternStandard
G0100190,CentralStandard
G0100210,CentralStandard
G0100230,CentralStandard
G0100250,CentralStandard
G0100270,CentralStandard
G0100290,CentralStandard
G0100310,CentralStandard
G0100330,CentralStandard
G0100350,CentralStandard
G0100370,CentralStandard
G0100390,CentralStandard
G0100410,CentralStandard
G0100430,CentralStandard
G0100450,CentralStandard
G0100470,CentralStandard
G0100490,CentralStandard
G0100510,CentralStandard
G0100530,CentralStandard
G0100550,CentralStandard
G0100570,CentralStandard
G0100590,CentralStandard
G0100610,CentralStandard
G0100630,CentralStandard
G0100650,CentralStandard
G0100670,CentralStandard
G0100690,CentralStandard
G0100710,CentralStandard
G0100730,CentralStandard
G0100750,CentralStandard
G0100770,CentralStandard
G0100790,CentralStandard
G0100810,EasternStandard
G0100830,CentralStandard
G0100850,CentralStandard
G0100870,CentralStandard
G0100890,CentralStandard
G0100910,CentralStandard
G0100930,CentralStandard
G0100950,CentralStandard
G0100970,CentralStandard
G0100990,CentralStandard
G0101010,CentralStandard
G0101030,CentralStandard
G0101050,CentralStandard
G0101070,CentralStandard
G0101090,CentralStandard
G0101110,CentralStandard
G0101130,EasternStandard
G0101170,CentralStandard
G0101150,CentralStandard
G0101190,CentralStandard
G0101210,CentralStandard
G0101230,CentralStandard
G0101250,CentralStandard
G0101270,CentralStandard
G0101290,CentralStandard
G0101310,CentralStandard
G0101330,CentralStandard
G0500010,CentralStandard
G0500030,CentralStandard
G0500050,CentralStandard
G0500070,CentralStandard
G0500090,CentralStandard
G0500110,CentralStandard
G0500130,CentralStandard
G0500150,CentralStandard
G0500170,CentralStandard
G0500190,CentralStandard
G0500210,CentralStandard
G0500230,CentralStandard
G0500250,CentralStandard
G0500270,CentralStandard
G0500290,CentralStandard
G0500310,CentralStandard
G0500330,CentralStandard
G0500350,CentralStandard
G0500370,CentralStandard
G0500390,CentralStandard
G0500410,CentralStandard
G0500430,CentralStandard
G0500450,CentralStandard
G0500470,CentralStandard
G0500490,CentralStandard
G0500510,CentralStandard
G0500530,CentralStandard
G0500550,CentralStandard
G0500570,CentralStandard
G0500590,CentralStandard
G0500610,CentralStandard
G0500630,CentralStandard
G0500650,CentralStandard
G0500670,CentralStandard
G0500690,CentralStandard
G0500710,CentralStandard
G0500730,CentralStandard
G0500750,CentralStandard
G0500770,CentralStandard
G0500790,CentralStandard
G0500810,CentralStandard
G0500830,CentralStandard
G0500850,CentralStandard
G0500870,CentralStandard
G0500890,CentralStandard
G0500910,CentralStandard
G0500930,CentralStandard
G0500950,CentralStandard
G0500970,CentralStandard
G0500990,CentralStandard
G0501010,CentralStandard
G0501030,CentralStandard
G0501050,CentralStandard
G0501070,CentralStandard
G0501090,CentralStandard
G0501110,CentralStandard
G0501130,CentralStandard
G0501150,CentralStandard
