from_id,to_id
electricity_bath_fan_kwh,fans
electricity_ceiling_fan_kwh,fans
electricity_clothes_dryer_kwh,clothes_drying_elec
electricity_clothes_washer_kwh,other_major_appliances_elec
electricity_cooking_range_kwh,cooking_ranges_elec
electricity_cooling_kwh,hvac_cooling
electricity_dishwasher_kwh,dishwashers
electricity_exterior_holiday_lighting_kwh,exterior_lighting
electricity_exterior_lighting_kwh,exterior_lighting
electricity_extra_refrigerator_kwh,refrigerators
electricity_fans_cooling_kwh,hvac_cooling
electricity_fans_heating_kwh,hvac_heating_elec
electricity_freezer_kwh,freezers
electricity_garage_lighting_kwh,interior_lighting
electricity_heating_kwh,hvac_heating_elec
electricity_heating_supplemental_kwh,hvac_heating_elec
electricity_hot_tub_heater_kwh,pool_heaters_elec
electricity_hot_tub_pump_kwh,pool_pumps
electricity_house_fan_kwh,fans
electricity_interior_lighting_kwh,interior_lighting_elec
electricity_plug_loads_kwh,plug_loads
electricity_pool_heater_kwh,pool_heaters_elec
electricity_pool_pump_kwh,pool_pumps
electricity_pumps_cooling_kwh,hvac_cooling
electricity_pumps_heating_kwh,hvac_heating_elec
electricity_pv_kwh,pv_generation
electricity_range_fan_kwh,other_major_appliances_elec
electricity_recirc_pump_kwh,
electricity_refrigerator_kwh,refrigerators
electricity_vehicle_kwh,
electricity_water_systems_kwh,water_heaters_elec
electricity_well_pump_kwh,other_pumps
fuel_oil_heating_mbtu,hvac_heating_fueloil
fuel_oil_water_systems_mbtu,water_heaters_fueloil
natural_gas_clothes_dryer_therm,clothes_dryers_ng
natural_gas_cooking_range_therm,cooking_ranges_ng
natural_gas_fireplace_therm,hvac_heating_ng
natural_gas_grill_therm,other_major_appliances_ng
natural_gas_heating_therm,hvac_heating_ng
natural_gas_hot_tub_heater_therm,pool_heaters_ng
natural_gas_lighting_therm,interior_lighting_ng
natural_gas_pool_heater_therm,pool_heaters_ng
natural_gas_water_systems_therm,water_heaters_ng
propane_clothes_dryer_mbtu,clothes_dryers_propane
propane_cooking_range_mbtu,cooking_ranges_propane
propane_heating_mbtu,hvac_heating_propane
propane_water_systems_mbtu,water_heaters_propane
wood_heating_mbtu,hvac_heating_wood
