id,name,state
G0100010,Autauga County,AL
G0100030,Baldwin County,AL
G0100050,Barbour County,AL
G0100070,Bibb County,AL
G0100090,Blount County,AL
G0100110,Bullock County,AL
G0100130,Butler County,AL
G0100150,Calhoun County,AL
G0100170,Chambers County,AL
G0100190,Cherokee County,AL
G0100210,Chilton County,AL
G0100230,Choctaw County,AL
G0100250,Clarke County,AL
G0100270,Clay County,AL
G0100290,Cleburne County,AL
G0100310,Coffee County,AL
G0100330,Colbert County,AL
G0100350,Conecuh County,AL
G0100370,Coosa County,AL
G0100390,Covington County,AL
G0100410,Crenshaw County,AL
G0100430,Cullman County,AL
G0100450,Dale County,AL
G0100470,Dallas County,AL
G0100490,DeKalb County,AL
G0100510,Elmore County,AL
G0100530,Escambia County,AL
G0100550,Etowah County,AL
G0100570,Fayette County,AL
G0100590,Franklin County,AL
G0100610,Geneva County,AL
G0100630,Greene County,AL
G0100650,Hale County,AL
G0100670,Henry County,AL
G0100690,Houston County,AL
G0100710,Jackson County,AL
G0100730,Jefferson County,AL
G0100750,Lamar County,AL
G0100770,Lauderdale County,AL
G0100790,Lawrence County,AL
G0100810,Lee County,AL
G0100830,Limestone County,AL
G0100850,Lowndes County,AL
G0100870,Macon County,AL
G0100890,Madison County,AL
G0100910,Marengo County,AL
G0100930,Marion County,AL
G0100950,Marshall County,AL
G0100970,Mobile County,AL
G0100990,Monroe County,AL
G0101010,Montgomery County,AL
G0101030,Morgan County,AL
G0101050,Perry County,AL
G0101070,Pickens County,AL
G0101090,Pike County,AL
G0101110,Randolph County,AL
G0101130,Russell County,AL
G0101150,St. Clair County,AL
G0101170,Shelby County,AL
G0101190,Sumter County,AL
G0101210,Talladega County,AL
G0101230,Tallapoosa County,AL
G0101250,Tuscaloosa County,AL
G0101270,Walker County,AL
G0101290,Washington County,AL
G0101310,Wilcox County,AL
G0101330,Winston County,AL
G0400010,Apache County,AZ
G0400030,Cochise County,AZ
G0400050,Coconino County,AZ
G0400070,Gila County,AZ
G0400090,Graham County,AZ
G0400110,Greenlee County,AZ
G0400120,La Paz County,AZ
G0400130,Maricopa County,AZ
G0400150,Mohave County,AZ
G0400170,Navajo County,AZ
G0400190,Pima County,AZ
G0400210,Pinal County,AZ
G0400230,Santa Cruz County,AZ
G0400250,Yavapai County,AZ
G0400270,Yuma County,AZ
G0500010,Arkansas County,AR
G0500030,Ashley County,AR
G0500050,Baxter County,AR
G0500070,Benton County,AR
G0500090,Boone County,AR
G0500110,Bradley County,AR
G0500130,Calhoun County,AR
G0500150,Carroll County,AR
G0500170,Chicot County,AR
G0500190,Clark County,AR
G0500210,Clay County,AR
G0500230,Cleburne County,AR
G0500250,Cleveland County,AR
G0500270,Columbia County,AR
G0500290,Conway County,AR
G0500310,Craighead County,AR
G0500330,Crawford County,AR
G0500350,Crittenden County,AR
G0500370,Cross County,AR
G0500390,Dallas County,AR
G0500410,Desha County,AR
G0500430,Drew County,AR
G0500450,Faulkner County,AR
G0500470,Franklin County,AR
G0500490,Fulton County,AR
G0500510,Garland County,AR
G0500530,Grant County,AR
G0500550,Greene County,AR
G0500570,Hempstead County,AR
G0500590,Hot Spring County,AR
G0500610,Howard County,AR
G0500630,Independence County,AR
G0500650,Izard County,AR
G0500670,Jackson County,AR
G0500690,Jefferson County,AR
G0500710,Johnson County,AR
G0500730,Lafayette County,AR
G0500750,Lawrence County,AR
G0500770,Lee County,AR
G0500790,Lincoln County,AR
G0500810,Little River County,AR
G0500830,Logan County,AR
G0500850,Lonoke County,AR
G0500870,Madison County,AR
G0500890,Marion County,AR
G0500910,Miller County,AR
G0500930,Mississippi County,AR
G0500950,Monroe County,AR
G0500970,Montgomery County,AR
G0500990,Nevada County,AR
G0501010,Newton County,AR
G0501030,Ouachita County,AR
G0501050,Perry County,AR
G0501070,Phillips County,AR
G0501090,Pike County,AR
G0501110,Poinsett County,AR
G0501130,Polk County,AR
G0501150,Pope County,AR
G0501170,Prairie County,AR
G0501190,Pulaski County,AR
G0501210,Randolph County,AR
G0501230,St. Francis County,AR
G0501250,Saline County,AR
G0501270,Scott County,AR
G0501290,Searcy County,AR
G0501310,Sebastian County,AR
G0501330,Sevier County,AR
G0501350,Sharp County,AR
G0501370,Stone County,AR
G0501390,Union County,AR
G0501410,Van Buren County,AR
G0501430,Washington County,AR
G0501450,White County,AR
G0501470,Woodruff County,AR
G0501490,Yell County,AR
G0600010,Alameda County,CA
G0600030,Alpine County,CA
G0600050,Amador County,CA
G0600070,Butte County,CA
G0600090,Calaveras County,CA
G0600110,Colusa County,CA
G0600130,Contra Costa County,CA
