id,name,state,geoid_id
"AL, Autauga County",Autauga County,AL,G01001
"AL, Baldwin County",Baldwin County,AL,G01003
"AL, Barbour County",Barbour County,AL,G01005
"AL, Bibb County",Bibb County,AL,G01007
"AL, Blount County",Blount County,AL,G01009
"AL, Bullock County",Bullock County,AL,G01011
"AL, Butler County",Butler County,AL,G01013
"AL, Calhoun County",Calhoun County,AL,G01015
"AL, Chambers County",Chambers County,AL,G01017
"AL, Cherokee County",Cherokee County,AL,G01019
"AL, Chilton County",Chilton County,AL,G01021
"AL, Choctaw County",Choctaw County,AL,G01023
"AL, Clarke County",Clarke County,AL,G01025
"AL, Clay County",Clay County,AL,G01027
"AL, Cleburne County",Cleburne County,AL,G01029
"AL, Coffee County",Coffee County,AL,G01031
"AL, Colbert County",Colbert County,AL,G01033
"AL, Conecuh County",Conecuh County,AL,G01035
"AL, Coosa County",Coosa County,AL,G01037
"AL, Covington County",Covington County,AL,G01039
"AL, Crenshaw County",Crenshaw County,AL,G01041
"AL, Cullman County",Cullman County,AL,G01043
"AL, Dale County",Dale County,AL,G01045
"AL, Dallas County",Dallas County,AL,G01047
"AL, DeKalb County",DeKalb County,AL,G01049
"AL, Elmore County",Elmore County,AL,G01051
"AL, Escambia County",Escambia County,AL,G01053
"AL, Etowah County",Etowah County,AL,G01055
"AL, Fayette County",Fayette County,AL,G01057
"AL, Franklin County",Franklin County,AL,G01059
"AL, Geneva County",Geneva County,AL,G01061
"AL, Greene County",Greene County,AL,G01063
"AL, Hale County",Hale County,AL,G01065
"AL, Henry County",Henry County,AL,G01067
"AL, Houston County",Houston County,AL,G01069
"AL, Jackson County",Jackson County,AL,G01071
"AL, Jefferson County",Jefferson County,AL,G01073
"AL, Lamar County",Lamar County,AL,G01075
"AL, Lauderdale County",Lauderdale County,AL,G01077
"AL, Lawrence County",Lawrence County,AL,G01079
"AL, Lee County",Lee County,AL,G01081
"AL, Limestone County",Limestone County,AL,G01083
"AL, Lowndes County",Lowndes County,AL,G01085
"AL, Macon County",Macon County,AL,G01087
"AL, Madison County",Madison County,AL,G01089
"AL, Marengo County",Marengo County,AL,G01091
"AL, Marion County",Marion County,AL,G01093
"AL, Marshall County",Marshall County,AL,G01095
"AL, Mobile County",Mobile County,AL,G01097
"AL, Monroe County",Monroe County,AL,G01099
"AL, Montgomery County",Montgomery County,AL,G01101
"AL, Morgan County",Morgan County,AL,G01103
"AL, Perry County",Perry County,AL,G01105
"AL, Pickens County",Pickens County,AL,G01107
"AL, Pike County",Pike County,AL,G01109
"AL, Randolph County",Randolph County,AL,G01111
"AL, Russell County",Russell County,AL,G01113
"AL, St. Clair County",St. Clair County,AL,G01115
"AL, Shelby County",Shelby County,AL,G01117
"AL, Sumter County",Sumter County,AL,G01119
"AL, Talladega County",Talladega County,AL,G01121
"AL, Tallapoosa County",Tallapoosa County,AL,G01123
"AL, Tuscaloosa County",Tuscaloosa County,AL,G01125
"AL, Walker County",Walker County,AL,G01127
"AL, Washington County",Washington County,AL,G01129
"AL, Wilcox County",Wilcox County,AL,G01131
"AL, Winston County",Winston County,AL,G01133
"AZ, Apache County",Apache County,AZ,G04001
"AZ, Cochise County",Cochise County,AZ,G04003
"AZ, Coconino County",Coconino County,AZ,G04005
"AZ, Gila County",Gila County,AZ,G04007
"AZ, Graham County",Graham County,AZ,G04009
"AZ, Greenlee County",Greenlee County,AZ,G04011
"AZ, La Paz County",La Paz County,AZ,G04012
"AZ, Maricopa County",Maricopa County,AZ,G04013
"AZ, Mohave County",Mohave County,AZ,G04015
"AZ, Navajo County",Navajo County,AZ,G04017
"AZ, Pima County",Pima County,AZ,G04019
"AZ, Pinal County",Pinal County,AZ,G04021
"AZ, Santa Cruz County",Santa Cruz County,AZ,G04023
"AZ, Yavapai County",Yavapai County,AZ,G04025
"AZ, Yuma County",Yuma County,AZ,G04027
"AR, Arkansas County",Arkansas County,AR,G05001
"AR, Ashley County",Ashley County,AR,G05003
"AR, Baxter County",Baxter County,AR,G05005
"AR, Benton County",Benton County,AR,G05007
"AR, Boone County",Boone County,AR,G05009
"AR, Bradley County",Bradley County,AR,G05011
"AR, Calhoun County",Calhoun County,AR,G05013
"AR, Carroll County",Carroll County,AR,G05015
"AR, Chicot County",Chicot County,AR,G05017
"AR, Clark County",Clark County,AR,G05019
"AR, Clay County",Clay County,AR,G05021
"AR, Cleburne County",Cleburne County,AR,G05023
"AR, Cleveland County",Cleveland County,AR,G05025
"AR, Columbia County",Columbia County,AR,G05027
"AR, Conway County",Conway County,AR,G05029
"AR, Craighead County",Craighead County,AR,G05031
"AR, Crawford County",Crawford County,AR,G05033
"AR, Crittenden County",Crittenden County,AR,G05035
"AR, Cross County",Cross County,AR,G05037
"AR, Dallas County",Dallas County,AR,G05039
"AR, Desha County",Desha County,AR,G05041
"AR, Drew County",Drew County,AR,G05043
"AR, Faulkner County",Faulkner County,AR,G05045
"AR, Franklin County",Franklin County,AR,G05047
"AR, Fulton County",Fulton County,AR,G05049
"AR, Garland County",Garland County,AR,G05051
"AR, Grant County",Grant County,AR,G05053
"AR, Greene County",Greene County,AR,G05055
"AR, Hempstead County",Hempstead County,AR,G05057
"AR, Hot Spring County",Hot Spring County,AR,G05059
"AR, Howard County",Howard County,AR,G05061
"AR, Independence County",Independence County,AR,G05063
"AR, Izard County",Izard County,AR,G05065
"AR, Jackson County",Jackson County,AR,G05067
"AR, Jefferson County",Jefferson County,AR,G05069
"AR, Johnson County",Johnson County,AR,G05071
"AR, Lafayette County",Lafayette County,AR,G05073
"AR, Lawrence County",Lawrence County,AR,G05075
"AR, Lee County",Lee County,AR,G05077
"AR, Lincoln County",Lincoln County,AR,G05079
"AR, Little River County",Little River County,AR,G05081
"AR, Logan County",Logan County,AR,G05083
"AR, Lonoke County",Lonoke County,AR,G05085
"AR, Madison County",Madison County,AR,G05087
"AR, Marion County",Marion County,AR,G05089
"AR, Miller County",Miller County,AR,G05091
"AR, Mississippi County",Mississippi County,AR,G05093
"AR, Monroe County",Monroe County,AR,G05095
"AR, Montgomery County",Montgomery County,AR,G05097
"AR, Nevada County",Nevada County,AR,G05099
"AR, Newton County",Newton County,AR,G05101
"AR, Ouachita County",Ouachita County,AR,G05103
"AR, Perry County",Perry County,AR,G05105
"AR, Phillips County",Phillips County,AR,G05107
"AR, Pike County",Pike County,AR,G05109
"AR, Poinsett County",Poinsett County,AR,G05111
"AR, Polk County",Polk County,AR,G05113
"AR, Pope County",Pope County,AR,G05115
"AR, Prairie County",Prairie County,AR,G05117
"AR, Pulaski County",Pulaski County,AR,G05119
"AR, Randolph County",Randolph County,AR,G05121
"AR, St. Francis County",St. Francis County,AR,G05123
"AR, Saline County",Saline County,AR,G05125
"AR, Scott County",Scott County,AR,G05127
"AR, Searcy County",Searcy County,AR,G05129
"AR, Sebastian County",Sebastian County,AR,G05131
"AR, Sevier County",Sevier County,AR,G05133
"AR, Sharp County",Sharp County,AR,G05135
"AR, Stone County",Stone County,AR,G05137
"AR, Union County",Union County,AR,G05139
"AR, Van Buren County",Van Buren County,AR,G05141
"AR, Washington County",Washington County,AR,G05143
"AR, White County",White County,AR,G05145
"AR, Woodruff County",Woodruff County,AR,G05147
"AR, Yell County",Yell County,AR,G05149
"CA, Alameda County",Alameda County,CA,G06001
"CA, Alpine County",Alpine County,CA,G06003
"CA, Amador County",Amador County,CA,G06005
"CA, Butte County",Butte County,CA,G06007
"CA, Calaveras County",Calaveras County,CA,G06009
"CA, Colusa County",Colusa County,CA,G06011
"CA, Contra Costa County",Contra Costa County,CA,G06013
"CA, Del Norte County",Del Norte County,CA,G06015
"CA, El Dorado County",El Dorado County,CA,G06017
"CA, Fresno County",Fresno County,CA,G06019
"CA, Glenn County",Glenn County,CA,G06021
"CA, Humboldt County",Humboldt County,CA,G06023
"CA, Imperial County",Imperial County,CA,G06025
"CA, Inyo County",Inyo County,CA,G06027
"CA, Kern County",Kern County,CA,G06029
"CA, Kings County",Kings County,CA,G06031
"CA, Lake County",Lake County,CA,G06033
"CA, Lassen County",Lassen County,CA,G06035
"CA, Los Angeles County",Los Angeles County,CA,G06037
"CA, Madera County",Madera County,CA,G06039
"CA, Marin County",Marin County,CA,G06041
"CA, Mariposa County",Mariposa County,CA,G06043
"CA, Mendocino County",Mendocino County,CA,G06045
"CA, Merced County",Merced County,CA,G06047
"CA, Modoc County",Modoc County,CA,G06049
"CA, Mono County",Mono County,CA,G06051
"CA, Monterey County",Monterey County,CA,G06053
"CA, Napa County",Napa County,CA,G06055
"CA, Nevada County",Nevada County,CA,G06057
"CA, Orange County",Orange County,CA,G06059
"CA, Placer County",Placer County,CA,G06061
"CA, Plumas County",Plumas County,CA,G06063
"CA, Riverside County",Riverside County,CA,G06065
"CA, Sacramento County",Sacramento County,CA,G06067
"CA, San Benito County",San Benito County,CA,G06069
"CA, San Bernardino County",San Bernardino County,CA,G06071
"CA, San Diego County",San Diego County,CA,G06073
"CA, San Francisco County",San Francisco County,CA,G06075
"CA, San Joaquin County",San Joaquin County,CA,G06077
"CA, San Luis Obispo County",San Luis Obispo County,CA,G06079
"CA, San Mateo County",San Mateo County,CA,G06081
"CA, Santa Barbara County",Santa Barbara County,CA,G06083
"CA, Santa Clara County",Santa Clara County,CA,G06085
"CA, Santa Cruz County",Santa Cruz County,CA,G06087
"CA, Shasta County",Shasta County,CA,G06089
"CA, Sierra County",Sierra County,CA,G06091
"CA, Siskiyou County",Siskiyou County,CA,G06093
"CA, Solano County",Solano County,CA,G06095
"CA, Sonoma County",Sonoma County,CA,G06097
"CA, Stanislaus County",Stanislaus County,CA,G06099
"CA, Sutter County",Sutter County,CA,G06101
"CA, Tehama County",Tehama County,CA,G06103
"CA, Trinity County",Trinity County,CA,G06105
"CA, Tulare County",Tulare County,CA,G06107
"CA, Tuolumne County",Tuolumne County,CA,G06109
"CA, Ventura County",Ventura County,CA,G06111
"CA, Yolo County",Yolo County,CA,G06113
"CA, Yuba County",Yuba County,CA,G06115
"CO, Adams County",Adams County,CO,G08001
"CO, Alamosa County",Alamosa County,CO,G08003
"CO, Arapahoe County",Arapahoe County,CO,G08005
"CO, Archuleta County",Archuleta County,CO,G08007
"CO, Baca County",Baca County,CO,G08009
"CO, Bent County",Bent County,CO,G08011
"CO, Boulder County",Boulder County,CO,G08013
"CO, Broomfield County",Broomfield County,CO,G08014
"CO, Chaffee County",Chaffee County,CO,G08015
"CO, Cheyenne County",Cheyenne County,CO,G08017
"CO, Clear Creek County",Clear Creek County,CO,G08019
"CO, Conejos County",Conejos County,CO,G08021
"CO, Costilla County",Costilla County,CO,G08023
"CO, Crowley County",Crowley County,CO,G08025
"CO, Custer County",Custer County,CO,G08027
"CO, Delta County",Delta County,CO,G08029
"CO, Denver County",Denver County,CO,G08031
"CO, Dolores County",Dolores County,CO,G08033
"CO, Douglas County",Douglas County,CO,G08035
"CO, Eagle County",Eagle County,CO,G08037
"CO, Elbert County",Elbert County,CO,G08039
"CO, El Paso County",El Paso County,CO,G08041
"CO, Fremont County",Fremont County,CO,G08043
"CO, Garfield County",Garfield County,CO,G08045
"CO, Gilpin County",Gilpin County,CO,G08047
"CO, Grand County",Grand County,CO,G08049
"CO, Gunnison County",Gunnison County,CO,G08051
"CO, Hinsdale County",Hinsdale County,CO,G08053
"CO, Huerfano County",Huerfano County,CO,G08055
"CO, Jackson County",Jackson County,CO,G08057
"CO, Jefferson County",Jefferson County,CO,G08059
"CO, Kiowa County",Kiowa County,CO,G08061
"CO, Kit Carson County",Kit Carson County,CO,G08063
"CO, Lake County",Lake County,CO,G08065
"CO, La Plata County",La Plata County,CO,G08067
"CO, Larimer County",Larimer County,CO,G08069
"CO, Las Animas County",Las Animas County,CO,G08071
"CO, Lincoln County",Lincoln County,CO,G08073
"CO, Logan County",Logan County,CO,G08075
"CO, Mesa County",Mesa County,CO,G08077
"CO, Mineral County",Mineral County,CO,G08079
"CO, Moffat County",Moffat County,CO,G08081
"CO, Montezuma County",Montezuma County,CO,G08083
"CO, Montrose County",Montrose County,CO,G08085
"CO, Morgan County",Morgan County,CO,G08087
"CO, Otero County",Otero County,CO,G08089
"CO, Ouray County",Ouray County,CO,G08091
"CO, Park County",Park County,CO,G08093
"CO, Phillips County",Phillips County,CO,G08095
"CO, Pitkin County",Pitkin County,CO,G08097
"CO, Prowers County",Prowers County,CO,G08099
"CO, Pueblo County",Pueblo County,CO,G08101
"CO, Rio Blanco County",Rio Blanco County,CO,G08103
"CO, Rio Grande County",Rio Grande County,CO,G08105
"CO, Routt County",Routt County,CO,G08107
"CO, Saguache County",Saguache County,CO,G08109
"CO, San Juan County",San Juan County,CO,G08111
"CO, San Miguel County",San Miguel County,CO,G08113
"CO, Sedgwick County",Sedgwick County,CO,G08115
"CO, Summit County",Summit County,CO,G08117
"CO, Teller County",Teller County,CO,G08119
"CO, Washington County",Washington County,CO,G08121
"CO, Weld County",Weld County,CO,G08123
"CO, Yuma County",Yuma County,CO,G08125
"CT, Fairfield County",Fairfield County,CT,G09001
"CT, Hartford County",Hartford County,CT,G09003
"CT, Litchfield County",Litchfield County,CT,G09005
"CT, Middlesex County",Middlesex County,CT,G09007
"CT, New Haven County",New Haven County,CT,G09009
"CT, New London County",New London County,CT,G09011
"CT, Tolland County",Tolland County,CT,G09013
"CT, Windham County",Windham County,CT,G09015
"DE, Kent County",Kent County,DE,G10001
"DE, New Castle County",New Castle County,DE,G10003
"DE, Sussex County",Sussex County,DE,G10005
"DC, District of Columbia",District of Columbia,DC,G11001
"FL, Alachua County",Alachua County,FL,G12001
"FL, Baker County",Baker County,FL,G12003
"FL, Bay County",Bay County,FL,G12005
"FL, Bradford County",Bradford County,FL,G12007
"FL, Brevard County",Brevard County,FL,G12009
"FL, Broward County",Broward County,FL,G12011
"FL, Calhoun County",Calhoun County,FL,G12013
"FL, Charlotte County",Charlotte County,FL,G12015
"FL, Citrus County",Citrus County,FL,G12017
"FL, Clay County",Clay County,FL,G12019
"FL, Collier County",Collier County,FL,G12021
"FL, Columbia County",Columbia County,FL,G12023
"FL, DeSoto County",DeSoto County,FL,G12027
"FL, Dixie County",Dixie County,FL,G12029
"FL, Duval County",Duval County,FL,G12031
"FL, Escambia County",Escambia County,FL,G12033
"FL, Flagler County",Flagler County,FL,G12035
"FL, Franklin County",Franklin County,FL,G12037
"FL, Gadsden County",Gadsden County,FL,G12039
"FL, Gilchrist County",Gilchrist County,FL,G12041
"FL, Glades County",Glades County,FL,G12043
"FL, Gulf County",Gulf County,FL,G12045
"FL, Hamilton County",Hamilton County,FL,G12047
"FL, Hardee County",Hardee County,FL,G12049
"FL, Hendry County",Hendry County,FL,G12051
"FL, Hernando County",Hernando County,FL,G12053
"FL, Highlands County",Highlands County,FL,G12055
"FL, Hillsborough County",Hillsborough County,FL,G12057
"FL, Holmes County",Holmes County,FL,G12059
"FL, Indian River County",Indian River County,FL,G12061
"FL, Jackson County",Jackson County,FL,G12063
"FL, Jefferson County",Jefferson County,FL,G12065
"FL, Lafayette County",Lafayette County,FL,G12067
"FL, Lake County",Lake County,FL,G12069
"FL, Lee County",Lee County,FL,G12071
"FL, Leon County",Leon County,FL,G12073
"FL, Levy County",Levy County,FL,G12075
"FL, Liberty County",Liberty County,FL,G12077
"FL, Madison County",Madison County,FL,G12079
"FL, Manatee County",Manatee County,FL,G12081
"FL, Marion County",Marion County,FL,G12083
"FL, Martin County",Martin County,FL,G12085
"FL, Miami-Dade County",Miami-Dade County,FL,G12086
"FL, Monroe County",Monroe County,FL,G12087
"FL, Nassau County",Nassau County,FL,G12089
"FL, Okaloosa County",Okaloosa County,FL,G12091
"FL, Okeechobee County",Okeechobee County,FL,G12093
"FL, Orange County",Orange County,FL,G12095
"FL, Osceola County",Osceola County,FL,G12097
"FL, Palm Beach County",Palm Beach County,FL,G12099
"FL, Pasco County",Pasco County,FL,G12101
"FL, Pinellas County",Pinellas County,FL,G12103
"FL, Polk County",Polk County,FL,G12105
"FL, Putnam County",Putnam County,FL,G12107
"FL, St. Johns County",St. Johns County,FL,G12109
"FL, St. Lucie County",St. Lucie County,FL,G12111
"FL, Santa Rosa County",Santa Rosa County,FL,G12113
"FL, Sarasota County",Sarasota County,FL,G12115
"FL, Seminole County",Seminole County,FL,G12117
"FL, Sumter County",Sumter County,FL,G12119
"FL, Suwannee County",Suwannee County,FL,G12121
"FL, Taylor County",Taylor County,FL,G12123
"FL, Union County",Union County,FL,G12125
"FL, Volusia County",Volusia County,FL,G12127
"FL, Wakulla County",Wakulla County,FL,G12129
"FL, Walton County",Walton County,FL,G12131
"FL, Washington County",Washington County,FL,G12133
"GA, Appling County",Appling County,GA,G13001
"GA, Atkinson County",Atkinson County,GA,G13003
"GA, Bacon County",Bacon County,GA,G13005
"GA, Baker County",Baker County,GA,G13007
"GA, Baldwin County",Baldwin County,GA,G13009
"GA, Banks County",Banks County,GA,G13011
"GA, Barrow County",Barrow County,GA,G13013
"GA, Bartow County",Bartow County,GA,G13015
"GA, Ben Hill County",Ben Hill County,GA,G13017
"GA, Berrien County",Berrien County,GA,G13019
"GA, Bibb County",Bibb County,GA,G13021
"GA, Bleckley County",Bleckley County,GA,G13023
"GA, Brantley County",Brantley County,GA,G13025
"GA, Brooks County",Brooks County,GA,G13027
"GA, Bryan County",Bryan County,GA,G13029
"GA, Bulloch County",Bulloch County,GA,G13031
"GA, Burke County",Burke County,GA,G13033
"GA, Butts County",Butts County,GA,G13035
"GA, Calhoun County",Calhoun County,GA,G13037
"GA, Camden County",Camden County,GA,G13039
"GA, Candler County",Candler County,GA,G13043
"GA, Carroll County",Carroll County,GA,G13045
"GA, Catoosa County",Catoosa County,GA,G13047
"GA, Charlton County",Charlton County,GA,G13049
"GA, Chatham County",Chatham County,GA,G13051
"GA, Chattahoochee County",Chattahoochee County,GA,G13053
"GA, Chattooga County",Chattooga County,GA,G13055
"GA, Cherokee County",Cherokee County,GA,G13057
"GA, Clarke County",Clarke County,GA,G13059
"GA, Clay County",Clay County,GA,G13061
"GA, Clayton County",Clayton County,GA,G13063
"GA, Clinch County",Clinch County,GA,G13065
"GA, Cobb County",Cobb County,GA,G13067
"GA, Coffee County",Coffee County,GA,G13069
"GA, Colquitt County",Colquitt County,GA,G13071
"GA, Columbia County",Columbia County,GA,G13073
"GA, Cook County",Cook County,GA,G13075
"GA, Coweta County",Coweta County,GA,G13077
"GA, Crawford County",Crawford County,GA,G13079
"GA, Crisp County",Crisp County,GA,G13081
"GA, Dade County",Dade County,GA,G13083
"GA, Dawson County",Dawson County,GA,G13085
"GA, Decatur County",Decatur County,GA,G13087
"GA, DeKalb County",DeKalb County,GA,G13089
"GA, Dodge County",Dodge County,GA,G13091
"GA, Dooly County",Dooly County,GA,G13093
"GA, Dougherty County",Dougherty County,GA,G13095
"GA, Douglas County",Douglas County,GA,G13097
"GA, Early County",Early County,GA,G13099
"GA, Echols County",Echols County,GA,G13101
"GA, Effingham County",Effingham County,GA,G13103
"GA, Elbert County",Elbert County,GA,G13105
"GA, Emanuel County",Emanuel County,GA,G13107
