id,name,state
G01001,Autauga County,AL
G01003,Baldwin County,AL
G01005,Barbour County,AL
G01007,Bibb County,AL
G01009,Blount County,AL
G01011,Bullock County,AL
G01013,Butler County,AL
G01015,Calhoun County,AL
G01017,Chambers County,AL
G01019,Cherokee County,AL
G01021,Chilton County,AL
G01023,Choctaw County,AL
G01025,Clarke County,AL
G01027,Clay County,AL
G01029,Cleburne County,AL
G01031,Coffee County,AL
G01033,Colbert County,AL
G01035,Conecuh County,AL
G01037,Coosa County,AL
G01039,Covington County,AL
G01041,Crenshaw County,AL
G01043,Cullman County,AL
G01045,Dale County,AL
G01047,Dallas County,AL
G01049,DeKalb County,AL
G01051,Elmore County,AL
G01053,Escambia County,AL
G01055,Etowah County,AL
G01057,Fayette County,AL
G01059,Franklin County,AL
G01061,Geneva County,AL
G01063,Greene County,AL
G01065,Hale County,AL
G01067,Henry County,AL
G01069,Houston County,AL
G01071,Jackson County,AL
G01073,Jefferson County,AL
G01075,Lamar County,AL
G01077,Lauderdale County,AL
G01079,Lawrence County,AL
G01081,Lee County,AL
G01083,Limestone County,AL
G01085,Lowndes County,AL
G01087,Macon County,AL
G01089,Madison County,AL
G01091,Marengo County,AL
G01093,Marion County,AL
G01095,Marshall County,AL
G01097,Mobile County,AL
G01099,Monroe County,AL
G01101,Montgomery County,AL
G01103,Morgan County,AL
G01105,Perry County,AL
G01107,Pickens County,AL
G01109,Pike County,AL
G01111,Randolph County,AL
G01113,Russell County,AL
G01115,St. Clair County,AL
G01117,Shelby County,AL
G01119,Sumter County,AL
G01121,Talladega County,AL
G01123,Tallapoosa County,AL
G01125,Tuscaloosa County,AL
G01127,Walker County,AL
G01129,Washington County,AL
G01131,Wilcox County,AL
G01133,Winston County,AL
G04001,Apache County,AZ
G04003,Cochise County,AZ
G04005,Coconino County,AZ
G04007,Gila County,AZ
G04009,Graham County,AZ
G04011,Greenlee County,AZ
G04012,La Paz County,AZ
G04013,Maricopa County,AZ
G04015,Mohave County,AZ
G04017,Navajo County,AZ
G04019,Pima County,AZ
G04021,Pinal County,AZ
G04023,Santa Cruz County,AZ
G04025,Yavapai County,AZ
G04027,Yuma County,AZ
G05001,Arkansas County,AR
G05003,Ashley County,AR
G05005,Baxter County,AR
G05007,Benton County,AR
G05009,Boone County,AR
G05011,Bradley County,AR
G05013,Calhoun County,AR
G05015,Carroll County,AR
G05017,Chicot County,AR
G05019,Clark County,AR
G05021,Clay County,AR
G05023,Cleburne County,AR
G05025,Cleveland County,AR
G05027,Columbia County,AR
G05029,Conway County,AR
G05031,Craighead County,AR
G05033,Crawford County,AR
G05035,Crittenden County,AR
G05037,Cross County,AR
G05039,Dallas County,AR
G05041,Desha County,AR
G05043,Drew County,AR
G05045,Faulkner County,AR
G05047,Franklin County,AR
G05049,Fulton County,AR
G05051,Garland County,AR
G05053,Grant County,AR
G05055,Greene County,AR
G05057,Hempstead County,AR
G05059,Hot Spring County,AR
G05061,Howard County,AR
G05063,Independence County,AR
G05065,Izard County,AR
G05067,Jackson County,AR
G05069,Jefferson County,AR
G05071,Johnson County,AR
G05073,Lafayette County,AR
G05075,Lawrence County,AR
G05077,Lee County,AR
G05079,Lincoln County,AR
G05081,Little River County,AR
G05083,Logan County,AR
G05085,Lonoke County,AR
G05087,Madison County,AR
G05089,Marion County,AR
G05091,Miller County,AR
G05093,Mississippi County,AR
G05095,Monroe County,AR
G05097,Montgomery County,AR
G05099,Nevada County,AR
G05101,Newton County,AR
G05103,Ouachita County,AR
G05105,Perry County,AR
G05107,Phillips County,AR
G05109,Pike County,AR
G05111,Poinsett County,AR
G05113,Polk County,AR
G05115,Pope County,AR
G05117,Prairie County,AR
G05119,Pulaski County,AR
G05121,Randolph County,AR
G05123,St. Francis County,AR
G05125,Saline County,AR
G05127,Scott County,AR
G05129,Searcy County,AR
G05131,Sebastian County,AR
G05133,Sevier County,AR
G05135,Sharp County,AR
G05137,Stone County,AR
G05139,Union County,AR
G05141,Van Buren County,AR
G05143,Washington County,AR
G05145,White County,AR
G05147,Woodruff County,AR
G05149,Yell County,AR
G06001,Alameda County,CA
G06003,Alpine County,CA
G06005,Amador County,CA
G06007,Butte County,CA
G06009,Calaveras County,CA
G06011,Colusa County,CA
G06013,Contra Costa County,CA
G06015,Del Norte County,CA
G06017,El Dorado County,CA
G06019,Fresno County,CA
G06021,Glenn County,CA
