fips,long_name,county_name,state_abbr,state_name,region_name,division_name,division_name_recs,climate_zone,ba_climate_zone,iso_zone,custom_region,ahs_region,weather_file_2012,weather_file_2015,weather_file_2016,weather_file_2017,weather_file_2018,weather_file_2019,weather_file_TMY3,original_FIP,region,division,state,county,cz_number,acs_count,acs_vac_count,sample_count,acs_occupied_count
G01001,"AL, Autauga County",Autauga County,AL,Alabama,South,East South Central,East South Central,3A,Hot-Humid,None,CR09,Non-CBSA East South Central,USA_AL_Maxwell.Afb.722265_2012.epw,USA_AL_Maxwell.Afb.722265_2015.epw,USA_AL_Maxwell.Afb.722265_2016.epw,USA_AL_Maxwell.Afb.722265_2017.epw,USA_AL_Maxwell.Afb.722265_2018.epw,USA_AL_Maxwell.Afb.722265_2019.epw,Maxwell_Afb,G0100010,3.0,6.0,1.0,1.0,3.0,22714.0,1914.0,1.0,20800.0
G01003,"AL, Baldwin County",Baldwin County,AL,Alabama,South,East South Central,East South Central,2A,Hot-Humid,None,CR09,Non-CBSA East South Central,USA_AL_Mobile.Downtown.722235_2012.epw,USA_AL_Mobile.Downtown.722235_2015.epw,USA_AL_Mobile.Downtown.722235_2016.epw,USA_AL_Mobile.Downtown.722235_2017.epw,USA_AL_Mobile.Downtown.722235_2018.epw,USA_AL_Mobile.Downtown.722235_2019.epw,Mobile_Downtown_Ap,G0100030,3.0,6.0,1.0,3.0,2.0,107579.0,32430.0,1.0,75149.0
G01005,"AL, Barbour County",Barbour County,AL,Alabama,South,East South Central,East South Central,3A,Hot-Humid,None,CR09,Non-CBSA East South Central,USA_AL_Dothan.Rgnl.722268_2012.epw,USA_AL_Dothan.Rgnl.722268_2015.epw,USA_AL_Dothan.Rgnl.722268_2016.epw,USA_AL_Dothan.Rgnl.722268_2017.epw,USA_AL_Dothan.Rgnl.722268_2018.epw,USA_AL_Dothan.Rgnl.722268_2019.epw,Fort_Benning_Lawson,G0100050,3.0,6.0,1.0,5.0,3.0,11802.0,2680.0,1.0,9122.0
G01007,"AL, Bibb County",Bibb County,AL,Alabama,South,East South Central,East South Central,3A,Mixed-Humid,None,CR09,Non-CBSA East South Central,USA_AL_Centreville.722290_2012.epw,USA_AL_Centreville.722290_2015.epw,USA_AL_Centreville.722290_2016.epw,USA_AL_Centreville.722290_2017.epw,USA_AL_Centreville.722290_2018.epw,USA_AL_Centreville.722290_2019.epw,Tuscaloosa_Municipal_Ap,G0100070,3.0,6.0,1.0,7.0,3.0,8972.0,1924.0,1.0,7048.0
G01009,"AL, Blount County",Blount County,AL,Alabama,South,East South Central,East South Central,3A,Mixed-Humid,None,CR09,Non-CBSA East South Central,USA_AL_Birmingham.Muni.722280_2012.epw,USA_AL_Birmingham.Muni.722280_2015.epw,USA_AL_Birmingham.Muni.722280_2016.epw,USA_AL_Birmingham.Muni.722280_2017.epw,USA_AL_Birmingham.Muni.722280_2018.epw,USA_AL_Birmingham.Muni.722280_2019.epw,Birmingham_Municipal_Ap,G0100090,3.0,6.0,1.0,9.0,3.0,23850.0,3231.0,1.0,20619.0
G01011,"AL, Bullock County",Bullock County,AL,Alabama,South,East South Central,East South Central,3A,Hot-Humid,None,CR09,Non-CBSA East South Central,USA_AL_Maxwell.Afb.722265_2012.epw,USA_AL_Maxwell.Afb.722265_2015.epw,USA_AL_Maxwell.Afb.722265_2016.epw,USA_AL_Maxwell.Afb.722265_2017.epw,USA_AL_Maxwell.Afb.722265_2018.epw,USA_AL_Maxwell.Afb.722265_2019.epw,Troy_Af,G0100110,3.0,6.0,1.0,11.0,3.0,4462.0,906.0,1.0,3556.0
G01013,"AL, Butler County",Butler County,AL,Alabama,South,East South Central,East South Central,3A,Hot-Humid,None,CR09,Non-CBSA East South Central,USA_AL_Middleton.Fld.722276_2012.epw,USA_AL_Middleton.Fld.722276_2015.epw,USA_AL_Middleton.Fld.722276_2016.epw,USA_AL_Middleton.Fld.722276_2017.epw,USA_AL_Middleton.Fld.722276_2018.epw,USA_AL_Middleton.Fld.722276_2019.epw,Montgomery_Dannelly_Field,G0100130,3.0,6.0,1.0,13.0,3.0,9914.0,2239.0,1.0,7675.0
G01015,"AL, Calhoun County",Calhoun County,AL,Alabama,South,East South Central,East South Central,3A,Mixed-Humid,None,CR09,Non-CBSA East South Central,USA_AL_Anniston.Metropolit.722287_2012.epw,USA_AL_Anniston.Metropolit.722287_2015.epw,USA_AL_Anniston.Metropolit.722287_2016.epw,USA_AL_Anniston.Metropolit.722287_2017.epw,USA_AL_Anniston.Metropolit.722287_2018.epw,USA_AL_Anniston.Metropolit.722287_2019.epw,Anniston_Metropolitan_Ap,G0100150,3.0,6.0,1.0,15.0,3.0,53326.0,8255.0,1.0,45071.0
G01017,"AL, Chambers County",Chambers County,AL,Alabama,South,East South Central,East South Central,3A,Mixed-Humid,None,CR09,Non-CBSA East South Central,USA_GA_Columbus.Metropolit.722255_2012.epw,USA_GA_Columbus.Metropolit.722255_2015.epw,USA_GA_Columbus.Metropolit.722255_2016.epw,USA_GA_Columbus.Metropolit.722255_2017.epw,USA_GA_Columbus.Metropolit.722255_2018.epw,USA_GA_Columbus.Metropolit.722255_2019.epw,Auburn_Opelika_Apt,G0100170,3.0,6.0,1.0,17.0,3.0,16905.0,3054.0,1.0,13851.0
G01019,"AL, Cherokee County",Cherokee County,AL,Alabama,South,East South Central,East South Central,3A,Mixed-Humid,None,CR09,Non-CBSA East South Central,USA_AL_Gadsden.Muni.722285_2012.epw,USA_AL_Gadsden.Muni.722285_2015.epw,USA_AL_Gadsden.Muni.722285_2016.epw,USA_AL_Anniston.Metropolit.722287_2017.epw,USA_AL_Gadsden.Muni.722285_2018.epw,USA_AL_Gadsden.Muni.722285_2019.epw,Gadsen_Muni_Awos,G0100190,3.0,6.0,1.0,19.0,3.0,16260.0,5261.0,1.0,10999.0
