from_id,to_id
No_Drivers+Low_Income+Urban+Compact+BEV_100,bev_compact
No_Drivers+Low_Income+Urban+Compact+BEV_300,bev_compact
No_Drivers+Low_Income+Urban+Compact+BEV_500,bev_compact
No_Drivers+Low_Income+Urban+Midsize+BEV_100,bev_midsize
No_Drivers+Low_Income+Urban+Midsize+BEV_300,bev_midsize
No_Drivers+Low_Income+Urban+Midsize+BEV_500,bev_midsize
No_Drivers+Low_Income+Urban+SUV+BEV_100,bev_suv
No_Drivers+Low_Income+Urban+SUV+BEV_300,bev_suv
No_Drivers+Low_Income+Urban+SUV+BEV_500,bev_suv
No_Drivers+Low_Income+Urban+Pickup+BEV_100,bev_pickup
No_Drivers+Low_Income+Urban+Pickup+BEV_300,bev_pickup
No_Drivers+Low_Income+Urban+Pickup+BEV_500,bev_pickup
No_Drivers+Low_Income+Suburban+Compact+BEV_100,bev_compact
No_Drivers+Low_Income+Suburban+Compact+BEV_300,bev_compact
No_Drivers+Low_Income+Suburban+Compact+BEV_500,bev_compact
No_Drivers+Low_Income+Suburban+Midsize+BEV_100,bev_midsize
No_Drivers+Low_Income+Suburban+Midsize+BEV_300,bev_midsize
No_Drivers+Low_Income+Suburban+Midsize+BEV_500,bev_midsize
No_Drivers+Low_Income+Suburban+SUV+BEV_100,bev_suv
No_Drivers+Low_Income+Suburban+SUV+BEV_300,bev_suv
No_Drivers+Low_Income+Suburban+SUV+BEV_500,bev_suv
No_Drivers+Low_Income+Suburban+Pickup+BEV_100,bev_pickup
No_Drivers+Low_Income+Suburban+Pickup+BEV_300,bev_pickup
No_Drivers+Low_Income+Suburban+Pickup+BEV_500,bev_pickup
No_Drivers+Low_Income+Second_City+Compact+BEV_100,bev_compact
No_Drivers+Low_Income+Second_City+Compact+BEV_300,bev_compact
No_Drivers+Low_Income+Second_City+Compact+BEV_500,bev_compact
No_Drivers+Low_Income+Second_City+Midsize+BEV_100,bev_midsize
No_Drivers+Low_Income+Second_City+Midsize+BEV_300,bev_midsize
No_Drivers+Low_Income+Second_City+Midsize+BEV_500,bev_midsize
No_Drivers+Low_Income+Second_City+SUV+BEV_100,bev_suv
No_Drivers+Low_Income+Second_City+SUV+BEV_300,bev_suv
No_Drivers+Low_Income+Second_City+SUV+BEV_500,bev_suv
No_Drivers+Low_Income+Second_City+Pickup+BEV_100,bev_pickup
No_Drivers+Low_Income+Second_City+Pickup+BEV_300,bev_pickup
No_Drivers+Low_Income+Second_City+Pickup+BEV_500,bev_pickup
No_Drivers+Low_Income+Small_Town+Compact+BEV_100,bev_compact
No_Drivers+Low_Income+Small_Town+Compact+BEV_300,bev_compact
No_Drivers+Low_Income+Small_Town+Compact+BEV_500,bev_compact
No_Drivers+Low_Income+Small_Town+Midsize+BEV_100,bev_midsize
No_Drivers+Low_Income+Small_Town+Midsize+BEV_300,bev_midsize
No_Drivers+Low_Income+Small_Town+Midsize+BEV_500,bev_midsize
No_Drivers+Low_Income+Small_Town+SUV+BEV_100,bev_suv
No_Drivers+Low_Income+Small_Town+SUV+BEV_300,bev_suv
No_Drivers+Low_Income+Small_Town+SUV+BEV_500,bev_suv
No_Drivers+Low_Income+Small_Town+Pickup+BEV_100,bev_pickup
No_Drivers+Low_Income+Small_Town+Pickup+BEV_300,bev_pickup
No_Drivers+Low_Income+Small_Town+Pickup+BEV_500,bev_pickup
No_Drivers+Low_Income+Rural+Compact+BEV_100,bev_compact
No_Drivers+Low_Income+Rural+Compact+BEV_300,bev_compact
No_Drivers+Low_Income+Rural+Compact+BEV_500,bev_compact
No_Drivers+Low_Income+Rural+Midsize+BEV_100,bev_midsize
No_Drivers+Low_Income+Rural+Midsize+BEV_300,bev_midsize
No_Drivers+Low_Income+Rural+Midsize+BEV_500,bev_midsize
No_Drivers+Low_Income+Rural+SUV+BEV_100,bev_suv
No_Drivers+Low_Income+Rural+SUV+BEV_300,bev_suv
No_Drivers+Low_Income+Rural+SUV+BEV_500,bev_suv
No_Drivers+Low_Income+Rural+Pickup+BEV_100,bev_pickup
No_Drivers+Low_Income+Rural+Pickup+BEV_300,bev_pickup
No_Drivers+Low_Income+Rural+Pickup+BEV_500,bev_pickup
No_Drivers+Middle_Income+Urban+Compact+BEV_100,bev_compact
No_Drivers+Middle_Income+Urban+Compact+BEV_300,bev_compact
No_Drivers+Middle_Income+Urban+Compact+BEV_500,bev_compact
No_Drivers+Middle_Income+Urban+Midsize+BEV_100,bev_midsize
No_Drivers+Middle_Income+Urban+Midsize+BEV_300,bev_midsize
No_Drivers+Middle_Income+Urban+Midsize+BEV_500,bev_midsize
No_Drivers+Middle_Income+Urban+SUV+BEV_100,bev_suv
No_Drivers+Middle_Income+Urban+SUV+BEV_300,bev_suv
