id,name,state,time_zone
01001,AUTAUGA,AL,CentralPrevailing
01003,BALDWIN,AL,CentralPrevailing
01005,BARBOUR,AL,CentralPrevailing
01007,BIBB,AL,CentralPrevailing
01009,BLOUNT,AL,CentralPrevailing
01011,BULLOCK,AL,CentralPrevailing
01013,BUTLER,AL,CentralPrevailing
01015,CALHOUN,AL,CentralPrevailing
01017,CHAMBERS,AL,CentralPrevailing
01019,CHEROKEE,AL,CentralPrevailing
01021,CHILTON,AL,CentralPrevailing
01023,CHOCTAW,AL,CentralPrevailing
01025,CLARKE,AL,CentralPrevailing
01027,CLAY,AL,CentralPrevailing
01029,CLEBURNE,AL,CentralPrevailing
01031,COFFEE,AL,CentralPrevailing
01033,COLBERT,AL,CentralPrevailing
01035,CONECUH,AL,CentralPrevailing
01037,COOSA,AL,CentralPrevailing
01039,COVINGTON,AL,CentralPrevailing
01041,CRENSHAW,AL,CentralPrevailing
01043,CULLMAN,AL,CentralPrevailing
01045,DALE,AL,CentralPrevailing
01047,DALLAS,AL,CentralPrevailing
01049,DEKALB,AL,CentralPrevailing
01051,ELMORE,AL,CentralPrevailing
01053,ESCAMBIA,AL,CentralPrevailing
01055,ETOWAH,AL,CentralPrevailing
01057,FAYETTE,AL,CentralPrevailing
01059,FRANKLIN,AL,CentralPrevailing
01061,GENEVA,AL,CentralPrevailing
01063,GREENE,AL,CentralPrevailing
01065,HALE,AL,CentralPrevailing
01067,HENRY,AL,CentralPrevailing
01069,HOUSTON,AL,CentralPrevailing
01071,JACKSON,AL,CentralPrevailing
01073,JEFFERSON,AL,CentralPrevailing
01075,LAMAR,AL,CentralPrevailing
01077,LAUDERDALE,AL,CentralPrevailing
01079,LAWRENCE,AL,CentralPrevailing
01081,LEE,AL,CentralPrevailing
01083,LIMESTONE,AL,CentralPrevailing
01085,LOWNDES,AL,CentralPrevailing
01087,MACON,AL,CentralPrevailing
01089,MADISON,AL,CentralPrevailing
01091,MARENGO,AL,CentralPrevailing
01093,MARION,AL,CentralPrevailing
01095,MARSHALL,AL,CentralPrevailing
01097,MOBILE,AL,CentralPrevailing
01099,MONROE,AL,CentralPrevailing
01101,MONTGOMERY,AL,CentralPrevailing
01103,MORGAN,AL,CentralPrevailing
01105,PERRY,AL,CentralPrevailing
01107,PICKENS,AL,CentralPrevailing
01109,PIKE,AL,CentralPrevailing
01111,RANDOLPH,AL,CentralPrevailing
01113,RUSSELL,AL,CentralPrevailing
01115,SAINT CLAIR,AL,CentralPrevailing
01117,SHELBY,AL,CentralPrevailing
01119,SUMTER,AL,CentralPrevailing
01121,TALLADEGA,AL,CentralPrevailing
01123,TALLAPOOSA,AL,CentralPrevailing
01125,TUSCALOOSA,AL,CentralPrevailing
01127,WALKER,AL,CentralPrevailing
01129,WASHINGTON,AL,CentralPrevailing
01131,WILCOX,AL,CentralPrevailing
01133,WINSTON,AL,CentralPrevailing
02013,ALEUTIANS EAST,AK,AlaskaPrevailing
02016,ALEUTIANS WEST,AK,AlaskaPrevailing
02020,ANCHORAGE,AK,AlaskaPrevailing
02050,BETHEL,AK,AlaskaPrevailing
02060,BRISTOL BAY,AK,AlaskaPrevailing
02068,DENALI,AK,AlaskaPrevailing
02070,DILLINGHAM,AK,AlaskaPrevailing
02090,FAIRBANKS NORTH STAR,AK,AlaskaPrevailing
02100,HAINES,AK,AlaskaPrevailing
02105,HOONAH-ANGOON,AK,AlaskaPrevailing
02110,JUNEAU,AK,AlaskaPrevailing
02122,KENAI PENINSULA,AK,AlaskaPrevailing
