id,name
tempo_2018,2018
tempo_2019,2019
tempo_2020,2020
tempo_2021,2021
tempo_2022,2022
tempo_2023,2023
tempo_2024,2024
tempo_2025,2025
tempo_2026,2026
tempo_2027,2027
tempo_2028,2028
tempo_2029,2029
tempo_2030,2030
tempo_2031,2031
tempo_2032,2032
tempo_2033,2033
tempo_2034,2034
tempo_2035,2035
tempo_2036,2036
tempo_2037,2037
tempo_2038,2038
tempo_2039,2039
tempo_2040,2040
tempo_2041,2041
tempo_2042,2042
tempo_2043,2043
tempo_2044,2044
tempo_2045,2045
tempo_2046,2046
tempo_2047,2047
tempo_2048,2048
tempo_2049,2049
tempo_2050,2050
