data_source,subsector
comstock,full_service_restaurant
comstock,hospital
comstock,large_office
comstock,primary_school
comstock,retail_standalone
comstock,retail_stripmall
comstock,small_office
comstock,secondary_school
comstock,warehouse
comstock,large_hotel
comstock,small_hotel
comstock,outpatient
comstock,quick_service_restaurant
comstock,medium_office
resstock,multifamily_2_to_4_units
resstock,single_family_attached
resstock,mobile_home
resstock,single_family_detached
resstock,multifamily_5_plus_units
tempo,bev_compact
tempo,bev_midsize
tempo,bev_pickup
tempo,bev_suv
tempo,phev_compact
tempo,phev_midsize
tempo,phev_pickup
tempo,phev_suv
