sector,model_year
res,2010
res,2011
res,2012
res,2013
res,2014
res,2015
res,2016
res,2017
res,2018
res,2019
res,2020
res,2021
res,2022
res,2023
res,2024
res,2025
res,2026
res,2027
res,2028
res,2029
res,2030
res,2031
res,2032
res,2033
res,2034
res,2035
res,2036
res,2037
res,2038
res,2039
res,2040
res,2041
res,2042
res,2043
res,2044
res,2045
res,2046
res,2047
res,2048
res,2049
res,2050
com,2010
com,2011
com,2012
com,2013
com,2014
com,2015
com,2016
com,2017
com,2018
com,2019
com,2020
com,2021
com,2022
com,2023
com,2024
com,2025
com,2026
com,2027
com,2028
com,2029
com,2030
com,2031
com,2032
com,2033
com,2034
com,2035
com,2036
com,2037
com,2038
com,2039
com,2040
com,2041
com,2042
com,2043
com,2044
com,2045
com,2046
com,2047
com,2048
com,2049
com,2050
trans,2010
trans,2011
trans,2012
trans,2013
trans,2014
trans,2015
trans,2016
trans,2017
trans,2018
trans,2019
trans,2020
trans,2021
trans,2022
trans,2023
trans,2024
trans,2025
trans,2026
trans,2027
trans,2028
trans,2029
trans,2030
trans,2031
trans,2032
trans,2033
trans,2034
trans,2035
trans,2036
trans,2037
trans,2038
trans,2039
trans,2040
trans,2041
trans,2042
trans,2043
trans,2044
trans,2045
trans,2046
trans,2047
trans,2048
trans,2049
trans,2050
