from_id,to_id
district_cooling_cooling,district_cooling_cooling
district_heating_heating,district_heating_heating
district_heating_water_systems,district_heating_water_systems
electricity_cooling,electricity_cooling
electricity_exterior_lighting,electricity_exterior_lighting
electricity_fans,electricity_fans
electricity_heat_recovery,electricity_heat_recovery
electricity_heat_rejection,electricity_heat_rejection
electricity_heating,electricity_heating
electricity_interior_equipment,electricity_interior_equipment
electricity_interior_lighting,electricity_interior_lighting
electricity_pumps,electricity_pumps
electricity_refrigeration,electricity_refrigeration
electricity_water_systems,electricity_water_systems
fuel_oil_heating,fuel_oil_heating
fuel_oil_water_systems,fuel_oil_water_systems
natural_gas_heating,natural_gas_heating
natural_gas_interior_equipment,natural_gas_interior_equipment
natural_gas_water_systems,natural_gas_water_systems
propane_heating,propane_heating
propane_water_systems,propane_water_systems
