from_id,to_id
district_cooling_cooling,district_cooling_cooling
electricity_cooling,electricity_cooling
electricity_exterior_lighting,electricity_exterior_lighting
electricity_fans,electricity_fans
electricity_heat_recovery,electricity_heat_recovery
electricity_heat_rejection,electricity_heat_rejection
electricity_heating,electricity_heating
electricity_interior_equipment,electricity_interior_equipment
electricity_interior_lighting,electricity_interior_lighting
electricity_pumps,electricity_pumps
electricity_refrigeration,electricity_refrigeration
electricity_water_systems,electricity_water_systems
electricity_bath_fan,electricity_bath_fan
electricity_ceiling_fan,electricity_ceiling_fan
electricity_clothes_dryer,electricity_clothes_dryer
electricity_clothes_washer,electricity_clothes_washer
electricity_cooking_range,electricity_cooking_range
electricity_dishwasher,electricity_dishwasher
electricity_exterior_holiday_lighting,electricity_exterior_holiday_lighting
electricity_extra_refrigerator,electricity_extra_refrigerator
electricity_fans_cooling,electricity_fans_cooling
electricity_fans_heating,electricity_fans_heating
electricity_freezer,electricity_freezer
electricity_garage_lighting,electricity_garage_lighting
electricity_heating_supplemental,electricity_heating_supplemental
electricity_hot_tub_heater,electricity_hot_tub_heater
electricity_hot_tub_pump,electricity_hot_tub_pump
electricity_house_fan,electricity_house_fan
electricity_plug_loads,electricity_plug_loads
electricity_pool_heater,electricity_pool_heater
electricity_pool_pump,electricity_pool_pump
electricity_pumps_cooling,electricity_pumps_cooling
electricity_pumps_heating,electricity_pumps_heating
electricity_range_fan,electricity_range_fan
electricity_recirc_pump,electricity_recirc_pump
electricity_refrigerator,electricity_refrigerator
electricity_well_pump,electricity_well_pump
electricity_ev_l1l2,electricity_ev_l1l2
electricity_ev_dcfc,electricity_ev_dcfc
electricity_unspecified,electricity_unspecified
