from_id,to_id
01001,267
01003,267
01005,267
01007,265
01009,267
01011,267
01013,267
01015,267
01017,267
01019,267
01021,267
01023,265
01025,267
01027,267
01029,267
01031,267
01033,265
01035,267
01037,267
01039,267
01041,267
01043,265
01045,267
01047,267
01049,265
01051,267
01053,267
01055,267
01057,265
01059,265
01061,267
01063,265
01065,265
01067,267
01069,267
01071,265
01073,266
01075,265
01077,265
01079,265
01081,267
01083,265
01085,267
01087,267
01089,265
01091,265
01093,265
01095,265
01097,268
01099,267
01101,267
01103,265
01105,265
01107,265
01109,267
01111,267
01113,267
01115,267
01117,266
01119,265
01121,267
01123,267
01125,265
01127,265
01129,267
01131,265
01133,265
04001,55
04003,59
04005,54
04007,59
04009,59
04011,59
04012,56
04013,57
04015,53
04017,54
04019,58
04021,57
04023,58
04025,56
04027,56
05001,259
05003,259
05005,259
05007,159
05009,160
05011,259
05013,259
05015,160
05017,259
05019,259
05021,259
05023,160
05025,259
05027,259
05029,257
05031,259
05033,160
05035,259
05037,259
05039,259
05041,259
05043,259
05045,258
05047,160
05049,259
05051,257
05053,259
05055,259
05057,259
05059,257
05061,160
05063,259
05065,259
05067,259
05069,259
05071,160
05073,259
05075,259
05077,259
05079,259
05081,259
05083,160
05085,259
05087,160
05089,160
05091,259
05093,259
05095,259
05097,160
05099,259
05101,160
05103,259
05105,257
05107,259
05109,160
05111,259
05113,160
05115,257
05117,259
05119,258
05121,259
05123,259
05125,257
05127,160
05129,160
05131,160
05133,259
05135,259
05137,259
05139,259
05141,160
05143,159
05145,259
05147,259
05149,257
06001,25
06003,24
06005,24
06007,23
06009,24
06011,22
06013,25
06015,20
06017,24
06019,27
06021,22
06023,20
06025,33
06027,28
06029,30
06031,29
06033,22
06035,21
06037,31
06039,27
06041,25
06043,27
06045,20
06047,26
06049,21
06051,28
06053,29
06055,25
06057,24
06059,31
06061,24
06063,24
06065,33
06067,26
06069,29
06071,33
06073,32
06075,25
06077,26
06079,29
06081,25
06083,29
06085,25
06087,25
06089,20
06091,24
06093,21
06095,25
06097,25
06099,26
06101,23
06103,20
06105,20
06107,30
06109,27
06111,31
06113,22
06115,23
08001,82
08003,78
08005,82
08007,78
08009,87
08011,87
08013,80
08014,82
08015,78
08017,86
08019,81
08021,78
08023,78
08025,86
08027,84
08029,77
08031,82
08033,77
08035,82
08037,81
08039,86
08041,83
08043,84
08045,76
08047,80
08049,80
08051,78
08053,78
08055,87
08057,80
08059,82
08061,86
08063,86
08065,81
08067,77
08069,79
08071,87
08073,86
08075,85
08077,76
08079,78
08081,75
08083,77
08085,77
08087,85
08089,87
08091,77
08093,81
08095,85
08097,76
08099,87
08101,84
08103,76
08105,78
08107,75
08109,78
08111,77
08113,77
08115,85
08117,81
08119,81
08121,85
08123,85
08125,85
09001,344
09003,343
09005,343
09007,344
09009,344
09011,344
09013,343
09015,343
10001,318
10003,319
10005,318
11001,317
12001,309
12003,309
12005,271
12007,309
12009,313
12011,313
12013,270
12015,312
12017,309
12019,309
12021,312
12023,309
12027,312
12029,309
12031,310
12033,269
12035,309
12037,309
12039,309
12041,309
12043,312
12045,270
12047,309
12049,312
12051,312
12053,311
12055,312
12057,311
12059,270
12061,313
12063,270
12065,309
12067,309
12069,311
12071,312
12073,309
12075,309
12077,309
12079,309
12081,312
12083,309
12085,313
12086,313
12087,312
12089,310
12091,270
12093,312
12095,311
12097,311
12099,313
12101,311
12103,311
12105,311
12107,309
12109,310
12111,313
12113,269
12115,312
12117,311
12119,311
12121,309
12123,309
12125,309
12127,311
12129,309
12131,270
12133,270
13001,275
13003,275
13005,275
13007,275
13009,275
13011,275
13013,275
13015,274
13017,275
13019,275
13021,275
13023,275
13025,275
13027,275
13029,275
13031,275
13033,275
13035,275
13037,275
13039,275
13043,275
13045,273
13047,272
13049,275
13051,275
13053,275
13055,272
13057,274
13059,275
13061,275
13063,274
13065,275
13067,274
13069,275
13071,275
13073,275
13075,275
13077,273
13079,275
13081,275
13083,272
13085,272
13087,275
13089,274
13091,275
13093,275
13095,275
13097,274
13099,275
13101,275
13103,275
13105,275
13107,275
13109,275
13111,272
13113,274
13115,273
13117,274
13119,275
13121,274
13123,272
13125,275
13127,275
13129,272
13131,275
13133,275
13135,274
13137,272
13139,275
13141,275
13143,273
13145,273
13147,275
13149,273
13151,274
13153,275
13155,275
13157,275
13159,275
13161,275
13163,275
13165,275
13167,275
13169,275
13171,275
13173,275
13175,275
13177,275
13179,275
13181,275
13183,275
13185,275
13187,272
13189,275
13191,275
13193,275
13195,275
13197,275
13199,273
13201,275
13205,275
13207,275
13209,275
13211,275
13213,272
13215,275
13217,275
13219,275
13221,275
13223,274
13225,275
13227,272
13229,275
13231,275
13233,273
13235,275
13237,275
13239,275
13241,272
13243,275
13245,275
13247,274
13249,275
13251,275
13253,275
13255,275
13257,272
13259,275
13261,275
13263,273
13265,275
13267,275
13269,275
13271,275
13273,275
13275,275
13277,275
13279,275
13281,272
13283,275
13285,273
13287,275
13289,275
13291,272
13293,275
13295,272
13297,275
13299,275
13301,275
13303,275
13305,275
13307,275
13309,275
13311,272
13313,272
13315,275
13317,275
13319,275
13321,275
16001,44
16003,42
16005,46
16007,47
16009,41
16011,47
16013,45
16015,42
16017,41
16019,47
16021,41
16023,43
16025,45
16027,44
16029,47
16031,46
16033,47
16035,42
16037,43
16039,44
16041,47
16043,47
16045,42
16047,44
16049,42
16051,47
16053,45
16055,41
16057,41
16059,43
16061,41
16063,45
16065,47
16067,45
16069,41
16071,46
16073,44
16075,42
16077,46
16079,42
16081,47
16083,46
16085,42
16087,42
17001,201
17003,205
17005,205
17007,199
17009,202
17011,200
17013,202
17015,199
17017,202
17019,209
17021,210
17023,210
17025,210
17027,205
17029,210
17031,206
17033,210
17035,210
17037,199
17039,208
17041,210
17043,206
17045,209
17047,210
17049,210
17051,205
17053,209
17055,205
17057,202
17059,205
17061,202
17063,207
17065,205
17067,202
17069,205
17071,200
17073,200
17075,209
17077,205
17079,210
17081,205
17083,202
17085,199
17087,205
17089,206
17091,207
