from_id,to_id
01001,90
01003,90
01005,90
01007,89
01009,90
01011,90
01013,90
01015,90
01017,90
01019,90
01021,90
01023,89
01025,90
01027,90
01029,90
01031,90
01033,89
01035,90
01037,90
01039,90
01041,90
01043,89
01045,90
01047,90
01049,89
01051,90
01053,90
01055,90
01057,89
01059,89
01061,90
01063,89
01065,89
01067,90
01069,90
01071,89
01073,89
01075,89
01077,89
01079,89
01081,90
01083,89
01085,90
01087,90
01089,89
01091,89
01093,89
01095,89
01097,90
01099,90
01101,90
01103,89
01105,89
01107,89
01109,90
01111,90
01113,90
01115,90
01117,89
01119,89
01121,90
01123,90
01125,89
01127,89
01129,90
01131,89
01133,89
04001,29
04003,28
04005,28
04007,28
04009,28
04011,28
04012,28
04013,28
04015,27
04017,28
04019,30
04021,28
04023,30
04025,28
04027,28
05001,85
05003,85
05005,85
05007,56
05009,56
05011,85
05013,85
05015,56
05017,85
05019,85
05021,85
05023,56
05025,85
05027,85
05029,85
05031,85
05033,56
05035,85
05037,85
05039,85
05041,85
05043,85
05045,85
05047,56
05049,85
05051,85
05053,85
05055,85
05057,85
05059,85
05061,56
05063,85
05065,85
05067,85
05069,85
05071,56
05073,85
05075,85
05077,85
05079,85
05081,85
05083,56
05085,85
05087,56
05089,56
05091,85
05093,85
05095,85
05097,56
05099,85
05101,56
05103,85
05105,85
05107,85
05109,56
05111,85
05113,56
05115,85
05117,85
05119,85
05121,85
05123,85
05125,85
05127,56
05129,56
05131,56
05133,85
05135,85
05137,85
05139,85
05141,56
05143,56
05145,85
05147,85
05149,85
06001,9
06003,9
06005,9
06007,9
06009,9
06011,9
06013,9
06015,9
06017,9
06019,9
06021,9
06023,9
06025,10
06027,10
06029,10
06031,9
06033,9
06035,8
06037,10
06039,9
06041,9
06043,9
06045,9
06047,9
06049,8
06051,10
06053,9
06055,9
06057,9
06059,10
06061,9
06063,9
06065,10
06067,9
06069,9
06071,10
06073,11
06075,9
06077,9
06079,9
06081,9
06083,9
06085,9
06087,9
06089,9
06091,9
06093,8
06095,9
06097,9
06099,9
06101,9
06103,9
06105,9
06107,10
06109,9
06111,10
06113,9
06115,9
08001,33
08003,34
08005,33
08007,34
08009,34
08011,34
08013,33
08014,33
08015,34
08017,34
08019,33
08021,34
08023,34
08025,34
08027,34
08029,34
08031,33
08033,34
08035,33
08037,33
08039,34
08041,34
08043,34
08045,33
08047,33
08049,33
08051,34
08053,34
08055,34
08057,33
08059,33
08061,34
08063,34
08065,33
08067,34
08069,33
08071,34
08073,34
08075,33
08077,33
08079,34
08081,33
08083,34
08085,34
08087,33
08089,34
08091,34
08093,33
08095,33
08097,33
08099,34
08101,34
08103,33
08105,34
08107,33
08109,34
08111,34
08113,34
08115,33
08117,33
08119,33
08121,33
08123,33
08125,33
09001,132
09003,132
09005,132
09007,132
09009,132
09011,132
09013,132
09015,132
10001,125
10003,125
10005,125
11001,123
12001,101
12003,101
12005,91
12007,101
12009,102
12011,102
12013,91
12015,101
12017,101
12019,101
12021,101
12023,101
12027,101
12029,101
12031,101
12033,91
12035,101
12037,101
12039,101
12041,101
12043,101
12045,91
12047,101
12049,101
12051,101
12053,101
12055,101
12057,101
12059,91
12061,102
12063,91
12065,101
12067,101
12069,101
12071,101
12073,101
12075,101
12077,101
12079,101
12081,101
12083,101
12085,102
12086,102
12087,101
12089,101
12091,91
12093,101
12095,101
12097,101
12099,102
12101,101
12103,101
12105,101
12107,101
12109,101
12111,102
12113,91
12115,101
12117,101
12119,101
12121,101
12123,101
12125,101
12127,101
12129,101
12131,91
12133,91
13001,94
13003,94
13005,94
13007,94
13009,94
13011,94
13013,94
13015,94
13017,94
13019,94
13021,94
13023,94
13025,94
13027,94
13029,94
13031,94
13033,94
13035,94
13037,94
13039,94
13043,94
13045,94
13047,94
13049,94
13051,94
13053,94
13055,94
13057,94
13059,94
13061,94
13063,94
13065,94
13067,94
13069,94
13071,94
13073,94
13075,94
13077,94
13079,94
13081,94
13083,94
13085,94
13087,94
13089,94
13091,94
13093,94
13095,94
13097,94
13099,94
13101,94
13103,94
13105,94
13107,94
13109,94
13111,94
13113,94
13115,94
13117,94
13119,94
13121,94
13123,94
13125,94
13127,94
13129,94
13131,94
13133,94
13135,94
13137,94
13139,94
13141,94
13143,94
13145,94
13147,94
13149,94
13151,94
13153,94
13155,94
13157,94
13159,94
13161,94
13163,94
13165,94
13167,94
13169,94
13171,94
13173,94
13175,94
13177,94
13179,94
13181,94
13183,94
13185,94
13187,94
13189,94
13191,94
13193,94
13195,94
13197,94
13199,94
13201,94
13205,94
13207,94
13209,94
13211,94
13213,94
13215,94
13217,94
13219,94
13221,94
13223,94
13225,94
13227,94
13229,94
13231,94
13233,94
13235,94
13237,94
13239,94
13241,94
13243,94
13245,94
13247,94
13249,94
13251,94
13253,94
13255,94
13257,94
13259,94
13261,94
13263,94
13265,94
13267,94
13269,94
13271,94
13273,94
13275,94
13277,94
13279,94
13281,94
13283,94
13285,94
13287,94
13289,94
13291,94
13293,94
13295,94
13297,94
13299,94
13301,94
13303,94
13305,94
13307,94
13309,94
13311,94
13313,94
13315,94
13317,94
13319,94
13321,94
16001,15
16003,15
16005,16
16007,16
16009,14
16011,16
16013,15
16015,15
16017,14
16019,16
16021,14
16023,15
16025,15
16027,15
16029,16
16031,16
16033,16
16035,15
16037,15
16039,15
16041,16
16043,16
16045,15
16047,15
16049,15
16051,16
16053,15
16055,14
16057,14
16059,15
16061,14
16063,15
16065,16
16067,15
16069,14
16071,16
16073,15
16075,15
16077,16
16079,15
16081,16
16083,16
16085,15
16087,15
17001,81
17003,81
17005,81
17007,80
17009,81
17011,81
17013,81
17015,80
17017,81
17019,83
17021,83
17023,83
17025,83
17027,81
17029,83
17031,80
17033,83
17035,83
17037,80
17039,83
17041,83
17043,80
17045,83
17047,83
17049,83
17051,81
17053,83
17055,81
17057,81
17059,81
17061,81
17063,80
17065,81
17067,81
17069,81
17071,81
17073,81
17075,83
17077,81
17079,83
17081,81
17083,81
17085,80
17087,81
17089,80
17091,80
17093,80
17095,81
17097,80
17099,80
17101,83
17103,80
17105,80
17107,82
17109,81
17111,80
17113,83
17115,83
17117,81
17119,81
17121,81
17123,82
17125,81
17127,81
17129,81
17131,81
17133,81
17135,81
17137,81
17139,83
17141,80
17143,82
17145,81
17147,83
17149,81
17151,81
17153,81
17155,81
17157,81
17159,83
17161,81
17163,81
17165,81
17167,82
17169,81
17171,81
17173,83
17175,81
17177,80
17179,82
17181,81
17183,83
17185,83
17187,81
17189,81
