from_id,to_id
10001,south
10003,south
10005,south
1001,south
1003,south
1005,south
1007,south
1009,south
1011,south
1013,south
1015,south
1017,south
1019,south
1021,south
1023,south
1025,south
1027,south
1029,south
1031,south
1033,south
1035,south
1037,south
1039,south
1041,south
1043,south
1045,south
1047,south
1049,south
1051,south
1053,south
1055,south
1057,south
1059,south
1061,south
1063,south
1065,south
1067,south
1069,south
1071,south
1073,south
1075,south
1077,south
1079,south
1081,south
1083,south
1085,south
1087,south
1089,south
1091,south
1093,south
1095,south
1097,south
1099,south
11001,south
1101,south
1103,south
1105,south
1107,south
1109,south
1111,south
1113,south
1115,south
1117,south
1119,south
1121,south
1123,south
1125,south
1127,south
1129,south
1131,south
1133,south
12001,south
12003,south
12005,south
12007,south
12009,south
12011,south
12013,south
12015,south
12017,south
12019,south
12021,south
12023,south
12027,south
12029,south
12031,south
12033,south
12035,south
12037,south
12039,south
12041,south
12043,south
12045,south
12047,south
12049,south
12051,south
12053,south
12055,south
12057,south
12059,south
12061,south
12063,south
12065,south
12067,south
12069,south
12071,south
12073,south
12075,south
12077,south
12079,south
12081,south
12083,south
12085,south
12086,south
12087,south
12089,south
12091,south
12093,south
12095,south
12097,south
12099,south
12101,south
12103,south
12105,south
12107,south
12109,south
12111,south
12113,south
12115,south
12117,south
12119,south
12121,south
12123,south
12125,south
12127,south
12129,south
12131,south
12133,south
13001,south
13003,south
13005,south
13007,south
13009,south
13011,south
13013,south
13015,south
13017,south
13019,south
13021,south
13023,south
13025,south
13027,south
13029,south
13031,south
13033,south
13035,south
13037,south
13039,south
13043,south
13045,south
13047,south
13049,south
13051,south
13053,south
13055,south
13057,south
13059,south
13061,south
13063,south
13065,south
13067,south
13069,south
13071,south
13073,south
13075,south
13077,south
13079,south
13081,south
13083,south
13085,south
13087,south
13089,south
13091,south
13093,south
13095,south
13097,south
13099,south
13101,south
13103,south
13105,south
13107,south
13109,south
13111,south
13113,south
13115,south
13117,south
13119,south
13121,south
13123,south
13125,south
13127,south
13129,south
13131,south
13133,south
13135,south
13137,south
13139,south
13141,south
13143,south
13145,south
13147,south
13149,south
13151,south
13153,south
13155,south
13157,south
13159,south
13161,south
13163,south
13165,south
13167,south
13169,south
13171,south
13173,south
13175,south
13177,south
13179,south
13181,south
13183,south
13185,south
13187,south
13189,south
13191,south
13193,south
13195,south
13197,south
13199,south
13201,south
13205,south
13207,south
13209,south
13211,south
13213,south
13215,south
13217,south
13219,south
13221,south
13223,south
13225,south
13227,south
13229,south
13231,south
13233,south
13235,south
13237,south
13239,south
13241,south
13243,south
13245,south
13247,south
13249,south
13251,south
13253,south
13255,south
13257,south
13259,south
13261,south
13263,south
13265,south
13267,south
13269,south
13271,south
13273,south
13275,south
13277,south
13279,south
13281,south
13283,south
13285,south
13287,south
13289,south
13291,south
13293,south
13295,south
13297,south
13299,south
13301,south
13303,south
13305,south
13307,south
13309,south
13311,south
13313,south
13315,south
13317,south
13319,south
13321,south
15001,west
15003,west
15005,west
15007,west
15009,west
16001,west
16003,west
16005,west
16007,west
16009,west
16011,west
16013,west
16015,west
16017,west
16019,west
16021,west
16023,west
16025,west
16027,west
16029,west
16031,west
16033,west
16035,west
16037,west
16039,west
16041,west
16043,west
16045,west
16047,west
16049,west
16051,west
16053,west
16055,west
16057,west
16059,west
16061,west
16063,west
16065,west
16067,west
16069,west
16071,west
16073,west
16075,west
16077,west
16079,west
16081,west
16083,west
16085,west
16087,west
17001,midwest
17003,midwest
17005,midwest
17007,midwest
17009,midwest
17011,midwest
17013,midwest
17015,midwest
17017,midwest
17019,midwest
17021,midwest
17023,midwest
17025,midwest
17027,midwest
17029,midwest
17031,midwest
17033,midwest
17035,midwest
17037,midwest
17039,midwest
17041,midwest
17043,midwest
17045,midwest
17047,midwest
17049,midwest
17051,midwest
17053,midwest
17055,midwest
17057,midwest
17059,midwest
17061,midwest
17063,midwest
17065,midwest
17067,midwest
17069,midwest
17071,midwest
17073,midwest
17075,midwest
17077,midwest
17079,midwest
17081,midwest
17083,midwest
17085,midwest
17087,midwest
17089,midwest
17091,midwest
17093,midwest
17095,midwest
17097,midwest
17099,midwest
17101,midwest
17103,midwest
17105,midwest
17107,midwest
17109,midwest
17111,midwest
17113,midwest
17115,midwest
17117,midwest
17119,midwest
17121,midwest
17123,midwest
17125,midwest
17127,midwest
17129,midwest
17131,midwest
17133,midwest
17135,midwest
17137,midwest
17139,midwest
17141,midwest
17143,midwest
17145,midwest
17147,midwest
17149,midwest
17151,midwest
17153,midwest
17155,midwest
17157,midwest
17159,midwest
17161,midwest
17163,midwest
17165,midwest
17167,midwest
17169,midwest
17171,midwest
17173,midwest
17175,midwest
17177,midwest
17179,midwest
17181,midwest
17183,midwest
17185,midwest
17187,midwest
17189,midwest
17191,midwest
17193,midwest
17195,midwest
17197,midwest
17199,midwest
17201,midwest
17203,midwest
18001,midwest
18003,midwest
18005,midwest
18007,midwest
18009,midwest
18011,midwest
18013,midwest
18015,midwest
18017,midwest
18019,midwest
18021,midwest
18023,midwest
18025,midwest
18027,midwest
18029,midwest
18031,midwest
18033,midwest
18035,midwest
18037,midwest
18039,midwest
18041,midwest
18043,midwest
18045,midwest
18047,midwest
18049,midwest
18051,midwest
18053,midwest
18055,midwest
18057,midwest
18059,midwest
18061,midwest
18063,midwest
18065,midwest
18067,midwest
18069,midwest
18071,midwest
18073,midwest
18075,midwest
18077,midwest
18079,midwest
18081,midwest
18083,midwest
18085,midwest
18087,midwest
18089,midwest
18091,midwest
18093,midwest
18095,midwest
18097,midwest
18099,midwest
18101,midwest
18103,midwest
18105,midwest
18107,midwest
18109,midwest
18111,midwest
18113,midwest
18115,midwest
18117,midwest
18119,midwest
18121,midwest
18123,midwest
18125,midwest
18127,midwest
18129,midwest
18131,midwest
18133,midwest
18135,midwest
18137,midwest
18139,midwest
18141,midwest
18143,midwest
18145,midwest
18147,midwest
18149,midwest
18151,midwest
18153,midwest
18155,midwest
18157,midwest
18159,midwest
18161,midwest
18163,midwest
18165,midwest
18167,midwest
18169,midwest
18171,midwest
18173,midwest
18175,midwest
18177,midwest
18179,midwest
18181,midwest
18183,midwest
19001,midwest
19003,midwest
19005,midwest
19007,midwest
