from_id,to_id
01001,conus
01003,conus
01005,conus
01007,conus
01009,conus
01011,conus
01013,conus
01015,conus
01017,conus
01019,conus
01021,conus
01023,conus
01025,conus
01027,conus
01029,conus
01031,conus
01033,conus
01035,conus
01037,conus
01039,conus
01041,conus
01043,conus
01045,conus
01047,conus
01049,conus
01051,conus
01053,conus
01055,conus
01057,conus
01059,conus
01061,conus
01063,conus
01065,conus
01067,conus
01069,conus
01071,conus
01073,conus
01075,conus
01077,conus
01079,conus
01081,conus
01083,conus
01085,conus
01087,conus
01089,conus
01091,conus
01093,conus
01095,conus
01097,conus
01099,conus
01101,conus
01103,conus
01105,conus
01107,conus
01109,conus
01111,conus
01113,conus
01115,conus
01117,conus
01119,conus
01121,conus
01123,conus
01125,conus
01127,conus
01129,conus
01131,conus
01133,conus
04001,conus
04003,conus
04005,conus
04007,conus
04009,conus
04011,conus
04012,conus
04013,conus
04015,conus
04017,conus
04019,conus
04021,conus
04023,conus
04025,conus
04027,conus
05001,conus
05003,conus
05005,conus
05007,conus
05009,conus
05011,conus
05013,conus
05015,conus
05017,conus
05019,conus
05021,conus
05023,conus
05025,conus
05027,conus
05029,conus
05031,conus
05033,conus
05035,conus
05037,conus
05039,conus
05041,conus
05043,conus
05045,conus
05047,conus
05049,conus
05051,conus
05053,conus
05055,conus
05057,conus
05059,conus
05061,conus
05063,conus
05065,conus
05067,conus
05069,conus
05071,conus
05073,conus
05075,conus
05077,conus
05079,conus
05081,conus
05083,conus
05085,conus
05087,conus
05089,conus
05091,conus
05093,conus
05095,conus
05097,conus
05099,conus
05101,conus
05103,conus
05105,conus
05107,conus
05109,conus
05111,conus
05113,conus
05115,conus
05117,conus
05119,conus
05121,conus
05123,conus
05125,conus
05127,conus
05129,conus
05131,conus
05133,conus
05135,conus
05137,conus
05139,conus
05141,conus
05143,conus
05145,conus
05147,conus
05149,conus
06001,conus
06003,conus
06005,conus
06007,conus
06009,conus
06011,conus
06013,conus
06015,conus
06017,conus
06019,conus
06021,conus
06023,conus
06025,conus
06027,conus
06029,conus
06031,conus
06033,conus
06035,conus
06037,conus
06039,conus
06041,conus
06043,conus
06045,conus
06047,conus
06049,conus
06051,conus
06053,conus
06055,conus
06057,conus
06059,conus
06061,conus
06063,conus
06065,conus
06067,conus
06069,conus
06071,conus
06073,conus
06075,conus
06077,conus
06079,conus
06081,conus
06083,conus
06085,conus
06087,conus
06089,conus
06091,conus
06093,conus
06095,conus
06097,conus
06099,conus
06101,conus
06103,conus
06105,conus
06107,conus
06109,conus
06111,conus
06113,conus
06115,conus
08001,conus
08003,conus
08005,conus
08007,conus
08009,conus
08011,conus
08013,conus
08014,conus
08015,conus
08017,conus
08019,conus
08021,conus
08023,conus
08025,conus
08027,conus
08029,conus
08031,conus
08033,conus
08035,conus
08037,conus
08039,conus
08041,conus
08043,conus
08045,conus
08047,conus
08049,conus
08051,conus
08053,conus
08055,conus
08057,conus
08059,conus
08061,conus
08063,conus
08065,conus
08067,conus
