from_id,to_id
district_cooling_cooling,cooling
district_heating_heating,heating
district_heating_water_systems,water_hearing
electricity_bath_fan,other
electricity_ceiling_fan,other
electricity_clothes_dryer,other
electricity_clothes_washer,other
electricity_cooking_range,other
electricity_cooling,cooling
electricity_dishwasher,other
electricity_ev_dcfc,other
electricity_ev_l1l2,other
electricity_exterior_holiday_lighting,other
electricity_exterior_lighting,other
electricity_extra_refrigerator,other???
electricity_fans,other
electricity_fans_cooling,cooling
electricity_fans_heating,heating
electricity_freezer,other
electricity_garage_lighting,other
electricity_heat_recovery,heating???
electricity_heat_rejection,cooling
electricity_heating,heating
electricity_heating_supplemental,heating
electricity_hot_tub_heater,other
electricity_hot_tub_pump,other
electricity_house_fan,other
electricity_interior_equipment,other
electricity_interior_lighting,other
electricity_plug_loads,other
electricity_pool_heater,other
electricity_pool_pump,other
electricity_pumps,other
electricity_pumps_cooling,cooling
electricity_pumps_heating,heating
electricity_range_fan,other
electricity_recirc_pump,other
electricity_refrigeration,other
electricity_refrigerator,other
electricity_water_systems,other
electricity_well_pump,other
fuel_oil_heating,heating
fuel_oil_water_systems,other
natural_gas_clothes_dryer,other
natural_gas_cooking_range,other
natural_gas_fireplace,other
natural_gas_grill,other
natural_gas_heating,heating
natural_gas_hot_tub_heater,other
natural_gas_interior_equipment,other
natural_gas_lighting,other
natural_gas_pool_heater,other
natural_gas_water_systems,other
propane_clothes_dryer,other
propane_cooking_range,other
propane_heating,heating
propane_water_systems,other
wood_heating,heating
electricity_chp,other
electricity_thermal_dg,other???
electricity_dpv,other
electricity_unspecified,other
