from_id,to_id
district_cooling_cooling,electricity_cooling
district_heating_heating,natural_gas_heating
district_heating_water_systems,natural_gas_water_heating
electricity_bath_fan,electricity_other
electricity_ceiling_fan,electricity_other
electricity_clothes_dryer,electricity_other
electricity_clothes_washer,electricity_other
electricity_cooking_range,electricity_other
electricity_cooling,electricity_cooling
electricity_dishwasher,electricity_other
electricity_ev_dcfc,electricity_ev
electricity_ev_l1l2,electricity_ev
electricity_exterior_holiday_lighting,electricity_other
electricity_exterior_lighting,electricity_other
electricity_extra_refrigerator,electricity_other
electricity_fans,electricity_other
electricity_fans_cooling,electricity_cooling
electricity_fans_heating,electricity_heating
electricity_freezer,electricity_other
electricity_garage_lighting,electricity_other
electricity_heat_recovery,electricity_heating
electricity_heat_rejection,electricity_cooling
electricity_heating,electricity_heating
electricity_heating_supplemental,electricity_heating
electricity_hot_tub_heater,electricity_other
electricity_hot_tub_pump,electricity_other
electricity_house_fan,electricity_other
electricity_interior_equipment,electricity_other
electricity_interior_lighting,electricity_other
electricity_plug_loads,electricity_other
electricity_pool_heater,electricity_other
electricity_pool_pump,electricity_other
electricity_pumps,electricity_other
electricity_pumps_cooling,electricity_cooling
electricity_pumps_heating,electricity_heating
electricity_range_fan,electricity_other
electricity_recirc_pump,electricity_other
electricity_refrigeration,electricity_other
electricity_refrigerator,electricity_other
electricity_water_systems,electricity_water_heating
electricity_well_pump,electricity_other
fuel_oil_heating,fuel_oil_heating
fuel_oil_water_systems,fuel_oil_water_heating
natural_gas_clothes_dryer,natural_gas_other
natural_gas_cooking_range,natural_gas_other
natural_gas_fireplace,natural_gas_other
natural_gas_grill,natural_gas_other
natural_gas_heating,natural_gas_heating
natural_gas_hot_tub_heater,natural_gas_other
natural_gas_interior_equipment,natural_gas_other
natural_gas_lighting,natural_gas_other
natural_gas_pool_heater,natural_gas_other
natural_gas_water_systems,natural_gas_water_heating
propane_clothes_dryer,propane_other
propane_cooking_range,propane_other
propane_heating,propane_heating
propane_water_systems,propane_water_heating
wood_heating,wood_heating
electricity_chp,electricity_industrial
electricity_thermal_dg,electricity_industrial
electricity_dpv,electricity_other
electricity_unspecified,electricity_other
