from_id,to_id
district_cooling_cooling,commercial_end_uses
district_heating_heating,commercial_end_uses
district_heating_water_systems,commercial_end_uses
electricity_cooling,commercial_end_uses
electricity_exterior_lighting,commercial_end_uses
electricity_fans,commercial_end_uses
electricity_heat_recovery,commercial_end_uses
electricity_heat_rejection,commercial_end_uses
electricity_heating,commercial_end_uses
electricity_interior_equipment,commercial_end_uses
electricity_interior_lighting,commercial_end_uses
electricity_pumps,commercial_end_uses
electricity_refrigeration,commercial_end_uses
electricity_water_systems,commercial_end_uses
fuel_oil_heating,commercial_end_uses
fuel_oil_water_systems,commercial_end_uses
natural_gas_heating,commercial_end_uses
natural_gas_interior_equipment,commercial_end_uses
natural_gas_water_systems,commercial_end_uses
propane_heating,commercial_end_uses
propane_water_systems,commercial_end_uses
electricity_bath_fan,
electricity_ceiling_fan,
electricity_clothes_dryer,
electricity_clothes_washer,
electricity_cooking_range,
electricity_dishwasher,
electricity_exterior_holiday_lighting,
electricity_extra_refrigerator,
electricity_fans_cooling,
electricity_fans_heating,
electricity_freezer,
electricity_garage_lighting,
electricity_heating_supplemental,
electricity_hot_tub_heater,
electricity_hot_tub_pump,
electricity_house_fan,
electricity_plug_loads,
electricity_pool_heater,
electricity_pool_pump,
electricity_pumps_cooling,
electricity_pumps_heating,
electricity_range_fan,
electricity_recirc_pump,
electricity_refrigerator,
electricity_well_pump,
natural_gas_clothes_dryer,
natural_gas_cooking_range,
natural_gas_fireplace,
natural_gas_grill,
natural_gas_hot_tub_heater,
natural_gas_lighting,
natural_gas_pool_heater,
propane_clothes_dryer,
propane_cooking_range,
wood_heating,
electricity_ev_l1l2,
electricity_ev_dcfc,
electricity_chp,
electricity_thermal_dg,
electricity_dpv,
electricity_unspecified,
