from_id,to_id
electricity_bath_fan,residential_end_uses
electricity_ceiling_fan,residential_end_uses
electricity_clothes_dryer,residential_end_uses
electricity_clothes_washer,residential_end_uses
electricity_cooking_range,residential_end_uses
electricity_cooling,residential_end_uses
electricity_dishwasher,residential_end_uses
electricity_exterior_holiday_lighting,residential_end_uses
electricity_exterior_lighting,residential_end_uses
electricity_extra_refrigerator,residential_end_uses
electricity_fans_cooling,residential_end_uses
electricity_fans_heating,residential_end_uses
electricity_freezer,residential_end_uses
electricity_garage_lighting,residential_end_uses
electricity_heating,residential_end_uses
electricity_heating_supplemental,residential_end_uses
electricity_hot_tub_heater,residential_end_uses
electricity_hot_tub_pump,residential_end_uses
electricity_house_fan,residential_end_uses
electricity_interior_lighting,residential_end_uses
electricity_plug_loads,residential_end_uses
electricity_pool_heater,residential_end_uses
electricity_pool_pump,residential_end_uses
electricity_pumps_cooling,residential_end_uses
electricity_pumps_heating,residential_end_uses
electricity_range_fan,residential_end_uses
electricity_recirc_pump,residential_end_uses
electricity_refrigerator,residential_end_uses
electricity_water_systems,residential_end_uses
electricity_well_pump,residential_end_uses
fuel_oil_heating,residential_end_uses
fuel_oil_water_systems,residential_end_uses
natural_gas_clothes_dryer,residential_end_uses
natural_gas_cooking_range,residential_end_uses
natural_gas_fireplace,residential_end_uses
natural_gas_grill,residential_end_uses
natural_gas_heating,residential_end_uses
natural_gas_hot_tub_heater,residential_end_uses
natural_gas_lighting,residential_end_uses
natural_gas_pool_heater,residential_end_uses
natural_gas_water_systems,residential_end_uses
propane_clothes_dryer,residential_end_uses
propane_cooking_range,residential_end_uses
propane_heating,residential_end_uses
propane_water_systems,residential_end_uses
wood_heating,residential_end_uses
district_cooling_cooling,
district_heating_heating,
district_heating_water_systems,
electricity_fans,
electricity_heat_recovery,
electricity_heat_rejection,
electricity_interior_equipment,
electricity_pumps,
electricity_refrigeration,
natural_gas_interior_equipment,
electricity_ev_l1l2,
electricity_ev_dcfc,
electricity_chp,
electricity_thermal_dg,
electricity_dpv,
electricity_unspecified,
