from_id,to_id
district_cooling_cooling,all_electricity
district_heating_heating,
district_heating_water_systems,
electricity_cooling,all_electricity
electricity_exterior_lighting,all_electricity
electricity_fans,all_electricity
electricity_heat_recovery,all_electricity
electricity_heat_rejection,all_electricity
electricity_heating,all_electricity
electricity_interior_equipment,all_electricity
electricity_interior_lighting,all_electricity
electricity_pumps,all_electricity
electricity_refrigeration,all_electricity
electricity_water_systems,all_electricity
natural_gas_interior_equipment,
fuel_oil_heating,
fuel_oil_water_systems,
electricity_bath_fan,all_electricity
electricity_ceiling_fan,all_electricity
electricity_clothes_dryer,all_electricity
electricity_clothes_washer,all_electricity
electricity_cooking_range,all_electricity
electricity_dishwasher,all_electricity
electricity_exterior_holiday_lighting,all_electricity
electricity_extra_refrigerator,all_electricity
electricity_fans_cooling,all_electricity
electricity_fans_heating,all_electricity
electricity_freezer,all_electricity
electricity_garage_lighting,all_electricity
electricity_heating_supplemental,all_electricity
electricity_hot_tub_heater,all_electricity
electricity_hot_tub_pump,all_electricity
electricity_house_fan,all_electricity
electricity_plug_loads,all_electricity
electricity_pool_heater,all_electricity
electricity_pool_pump,all_electricity
electricity_pumps_cooling,all_electricity
electricity_pumps_heating,all_electricity
electricity_range_fan,all_electricity
electricity_recirc_pump,all_electricity
electricity_refrigerator,all_electricity
electricity_well_pump,all_electricity
natural_gas_clothes_dryer,
natural_gas_cooking_range,
natural_gas_fireplace,
natural_gas_grill,
natural_gas_heating,
natural_gas_hot_tub_heater,
natural_gas_lighting,
natural_gas_pool_heater,
natural_gas_water_systems,
propane_clothes_dryer,
propane_cooking_range,
propane_heating,
propane_water_systems,
wood_heating,
electricity_ev_l1l2,all_electricity
electricity_ev_dcfc,all_electricity
