from_id,to_id
medium_office,all_subsectors
secondary_school,all_subsectors
outpatient,all_subsectors
hospital,all_subsectors
quick_service_restaurant,all_subsectors
warehouse,all_subsectors
small_office,all_subsectors
primary_school,all_subsectors
large_hotel,all_subsectors
full_service_restaurant,all_subsectors
retail_stripmall,all_subsectors
retail_standalone,all_subsectors
large_office,all_subsectors
small_hotel,all_subsectors
mobile_home,all_subsectors
multifamily_2_to_4_units,all_subsectors
multifamily_5_plus_units,all_subsectors
single_family_attached,all_subsectors
single_family_detached,all_subsectors
bev_compact,all_subsectors
bev_midsize,all_subsectors
bev_suv,all_subsectors
bev_pickup,all_subsectors
phev_compact,all_subsectors
phev_midsize,all_subsectors
phev_suv,all_subsectors
phev_pickup,all_subsectors
unspecified,all_subsectors
