from_id,to_id
full_service_restaurant,commercial_subsectors
hospital,commercial_subsectors
large_hotel,commercial_subsectors
large_office,commercial_subsectors
medium_office,commercial_subsectors
outpatient,commercial_subsectors
primary_school,commercial_subsectors
quick_service_restaurant,commercial_subsectors
retail_standalone,commercial_subsectors
retail_stripmall,commercial_subsectors
secondary_school,commercial_subsectors
small_hotel,commercial_subsectors
small_office,commercial_subsectors
warehouse,commercial_subsectors
mobile_home,
multifamily_2_to_4_units,
multifamily_5_plus_units,
single_family_attached,
single_family_detached,
bev_compact,
bev_midsize,
bev_pickup,
bev_suv,
phev_compact,
phev_midsize,
phev_pickup,
phev_suv,
