from_id,to_id
mobile_home,residential_subsectors
multifamily_2_to_4_units,residential_subsectors
multifamily_5_plus_units,residential_subsectors
single_family_attached,residential_subsectors
single_family_detached,residential_subsectors
bev_compact,
bev_midsize,
bev_pickup,
bev_suv,
full_service_restaurant,
hospital,
large_hotel,
large_office,
medium_office,
outpatient,
phev_compact,
phev_midsize,
phev_pickup,
phev_suv,
primary_school,
quick_service_restaurant,
retail_standalone,
retail_stripmall,
secondary_school,
small_hotel,
small_office,
warehouse,
