from_id,to_id
mobile_home,
multifamily_2_to_4_units,
multifamily_5_plus_units,
single_family_attached,
single_family_detached,
bev_compact,transportation_subsectors
bev_midsize,transportation_subsectors
bev_pickup,transportation_subsectors
bev_suv,transportation_subsectors
full_service_restaurant,
hospital,
large_hotel,
large_office,
medium_office,
outpatient,
phev_compact,
phev_midsize,
phev_pickup,
phev_suv,
primary_school,
quick_service_restaurant,
retail_standalone,
retail_stripmall,
secondary_school,
small_hotel,
small_office,
warehouse,
