from_id,to_id
electricity_bath_fan,electricity_bath_fan
electricity_ceiling_fan,electricity_ceiling_fan
electricity_clothes_dryer,electricity_clothes_dryer
electricity_clothes_washer,electricity_clothes_washer
electricity_cooking_range,electricity_cooking_range
electricity_cooling,electricity_cooling
electricity_dishwasher,electricity_dishwasher
electricity_exterior_holiday_lighting,electricity_exterior_holiday_lighting
electricity_exterior_lighting,electricity_exterior_lighting
electricity_extra_refrigerator,electricity_extra_refrigerator
electricity_fans_cooling,electricity_fans_cooling
electricity_fans_heating,electricity_fans_heating
electricity_freezer,electricity_freezer
electricity_garage_lighting,electricity_garage_lighting
electricity_heating,electricity_heating
electricity_heating_supplemental,electricity_heating_supplemental
electricity_hot_tub_heater,electricity_hot_tub_heater
electricity_hot_tub_pump,electricity_hot_tub_pump
electricity_house_fan,electricity_house_fan
electricity_interior_lighting,electricity_interior_lighting
electricity_plug_loads,electricity_plug_loads
electricity_pool_heater,electricity_pool_heater
electricity_pool_pump,electricity_pool_pump
electricity_pumps_cooling,electricity_pumps_cooling
electricity_pumps_heating,electricity_pumps_heating
electricity_range_fan,electricity_range_fan
electricity_recirc_pump,electricity_recirc_pump
electricity_refrigerator,electricity_refrigerator
electricity_water_systems,electricity_water_systems
electricity_well_pump,electricity_well_pump
fuel_oil_heating,fuel_oil_heating
fuel_oil_water_systems,fuel_oil_water_systems
natural_gas_clothes_dryer,natural_gas_clothes_dryer
natural_gas_cooking_range,natural_gas_cooking_range
natural_gas_fireplace,natural_gas_fireplace
natural_gas_grill,natural_gas_grill
natural_gas_heating,natural_gas_heating
natural_gas_hot_tub_heater,natural_gas_hot_tub_heater
natural_gas_lighting,natural_gas_lighting
natural_gas_pool_heater,natural_gas_pool_heater
natural_gas_water_systems,natural_gas_water_systems
propane_clothes_dryer,propane_clothes_dryer
propane_cooking_range,propane_cooking_range
propane_heating,propane_heating
propane_water_systems,propane_water_systems
wood_heating,wood_heating
