from_id,to_id
01001,CentralPrevailing
01003,CentralPrevailing
01005,CentralPrevailing
01007,CentralPrevailing
01009,CentralPrevailing
01011,CentralPrevailing
01013,CentralPrevailing
01015,CentralPrevailing
01017,CentralPrevailing
01019,CentralPrevailing
01021,CentralPrevailing
01023,CentralPrevailing
01025,CentralPrevailing
01027,CentralPrevailing
01029,CentralPrevailing
01031,CentralPrevailing
01033,CentralPrevailing
01035,CentralPrevailing
01037,CentralPrevailing
01039,CentralPrevailing
01041,CentralPrevailing
01043,CentralPrevailing
01045,CentralPrevailing
01047,CentralPrevailing
01049,CentralPrevailing
01051,CentralPrevailing
01053,CentralPrevailing
01055,CentralPrevailing
01057,CentralPrevailing
01059,CentralPrevailing
01061,CentralPrevailing
01063,CentralPrevailing
01065,CentralPrevailing
01067,CentralPrevailing
01069,CentralPrevailing
01071,CentralPrevailing
01073,CentralPrevailing
01075,CentralPrevailing
01077,CentralPrevailing
01079,CentralPrevailing
01081,CentralPrevailing
01083,CentralPrevailing
01085,CentralPrevailing
01087,CentralPrevailing
01089,CentralPrevailing
01091,CentralPrevailing
01093,CentralPrevailing
01095,CentralPrevailing
01097,CentralPrevailing
01099,CentralPrevailing
01101,CentralPrevailing
01103,CentralPrevailing
01105,CentralPrevailing
01107,CentralPrevailing
01109,CentralPrevailing
01111,CentralPrevailing
01113,CentralPrevailing
01115,CentralPrevailing
01117,CentralPrevailing
01119,CentralPrevailing
01121,CentralPrevailing
01123,CentralPrevailing
01125,CentralPrevailing
01127,CentralPrevailing
01129,CentralPrevailing
01131,CentralPrevailing
01133,CentralPrevailing
04001,MountainStandard
04003,MountainStandard
04005,MountainStandard
04007,MountainStandard
04009,MountainStandard
04011,MountainStandard
04012,MountainStandard
04013,MountainStandard
04015,MountainStandard
04017,MountainPrevailing
04019,MountainStandard
04021,MountainStandard
04023,MountainStandard
04025,MountainStandard
04027,MountainStandard
05001,CentralPrevailing
05003,CentralPrevailing
05005,CentralPrevailing
05007,CentralPrevailing
05009,CentralPrevailing
05011,CentralPrevailing
05013,CentralPrevailing
05015,CentralPrevailing
05017,CentralPrevailing
05019,CentralPrevailing
05021,CentralPrevailing
05023,CentralPrevailing
05025,CentralPrevailing
05027,CentralPrevailing
05029,CentralPrevailing
05031,CentralPrevailing
05033,CentralPrevailing
05035,CentralPrevailing
05037,CentralPrevailing
05039,CentralPrevailing
05041,CentralPrevailing
05043,CentralPrevailing
05045,CentralPrevailing
05047,CentralPrevailing
05049,CentralPrevailing
05051,CentralPrevailing
05053,CentralPrevailing
05055,CentralPrevailing
05057,CentralPrevailing
05059,CentralPrevailing
05061,CentralPrevailing
05063,CentralPrevailing
05065,CentralPrevailing
05067,CentralPrevailing
05069,CentralPrevailing
05071,CentralPrevailing
05073,CentralPrevailing
05075,CentralPrevailing
05077,CentralPrevailing
05079,CentralPrevailing
05081,CentralPrevailing
05083,CentralPrevailing
05085,CentralPrevailing
05087,CentralPrevailing
05089,CentralPrevailing
05091,CentralPrevailing
05093,CentralPrevailing
05095,CentralPrevailing
05097,CentralPrevailing
05099,CentralPrevailing
05101,CentralPrevailing
05103,CentralPrevailing
05105,CentralPrevailing
05107,CentralPrevailing
05109,CentralPrevailing
05111,CentralPrevailing
05113,CentralPrevailing
05115,CentralPrevailing
05117,CentralPrevailing
05119,CentralPrevailing
05121,CentralPrevailing
05123,CentralPrevailing
05125,CentralPrevailing
05127,CentralPrevailing
05129,CentralPrevailing
05131,CentralPrevailing
05133,CentralPrevailing
05135,CentralPrevailing
05137,CentralPrevailing
05139,CentralPrevailing
05141,CentralPrevailing
05143,CentralPrevailing
05145,CentralPrevailing
05147,CentralPrevailing
05149,CentralPrevailing
06001,PacificPrevailing
06003,PacificPrevailing
06005,PacificPrevailing
06007,PacificPrevailing
06009,PacificPrevailing
06011,PacificPrevailing
06013,PacificPrevailing
06015,PacificPrevailing
06017,PacificPrevailing
06019,PacificPrevailing
06021,PacificPrevailing
06023,PacificPrevailing
06025,PacificPrevailing
06027,PacificPrevailing
06029,PacificPrevailing
06031,PacificPrevailing
06033,PacificPrevailing
06035,PacificPrevailing
06037,PacificPrevailing
06039,PacificPrevailing
06041,PacificPrevailing
06043,PacificPrevailing
06045,PacificPrevailing
06047,PacificPrevailing
06049,PacificPrevailing
06051,PacificPrevailing
06053,PacificPrevailing
06055,PacificPrevailing
06057,PacificPrevailing
06059,PacificPrevailing
06061,PacificPrevailing
06063,PacificPrevailing
06065,PacificPrevailing
06067,PacificPrevailing
06069,PacificPrevailing
06071,PacificPrevailing
06073,PacificPrevailing
06075,PacificPrevailing
06077,PacificPrevailing
06079,PacificPrevailing
06081,PacificPrevailing
06083,PacificPrevailing
06085,PacificPrevailing
06087,PacificPrevailing
06089,PacificPrevailing
06091,PacificPrevailing
06093,PacificPrevailing
06095,PacificPrevailing
06097,PacificPrevailing
06099,PacificPrevailing
06101,PacificPrevailing
06103,PacificPrevailing
06105,PacificPrevailing
06107,PacificPrevailing
06109,PacificPrevailing
06111,PacificPrevailing
06113,PacificPrevailing
06115,PacificPrevailing
08001,MountainPrevailing
08003,MountainPrevailing
08005,MountainPrevailing
08007,MountainPrevailing
08009,MountainPrevailing
08011,MountainPrevailing
08013,MountainPrevailing
08014,MountainPrevailing
08015,MountainPrevailing
08017,MountainPrevailing
08019,MountainPrevailing
08021,MountainPrevailing
08023,MountainPrevailing
08025,MountainPrevailing
08027,MountainPrevailing
08029,MountainPrevailing
08031,MountainPrevailing
08033,MountainPrevailing
08035,MountainPrevailing
08037,MountainPrevailing
08039,MountainPrevailing
08041,MountainPrevailing
08043,MountainPrevailing
08045,MountainPrevailing
08047,MountainPrevailing
08049,MountainPrevailing
08051,MountainPrevailing
08053,MountainPrevailing
08055,MountainPrevailing
08057,MountainPrevailing
08059,MountainPrevailing
08061,MountainPrevailing
08063,MountainPrevailing
08065,MountainPrevailing
08067,MountainPrevailing
08069,MountainPrevailing
08071,MountainPrevailing
08073,MountainPrevailing
08075,MountainPrevailing
08077,MountainPrevailing
08079,MountainPrevailing
08081,MountainPrevailing
08083,MountainPrevailing
08085,MountainPrevailing
08087,MountainPrevailing
08089,MountainPrevailing
08091,MountainPrevailing
08093,MountainPrevailing
08095,MountainPrevailing
08097,MountainPrevailing
08099,MountainPrevailing
08101,MountainPrevailing
08103,MountainPrevailing
08105,MountainPrevailing
08107,MountainPrevailing
08109,MountainPrevailing
08111,MountainPrevailing
08113,MountainPrevailing
08115,MountainPrevailing
08117,MountainPrevailing
08119,MountainPrevailing
08121,MountainPrevailing
08123,MountainPrevailing
08125,MountainPrevailing
09001,EasternPrevailing
09003,EasternPrevailing
09005,EasternPrevailing
09007,EasternPrevailing
09009,EasternPrevailing
09011,EasternPrevailing
09013,EasternPrevailing
09015,EasternPrevailing
10001,EasternPrevailing
10003,EasternPrevailing
10005,EasternPrevailing
11001,EasternPrevailing
12001,EasternPrevailing
12003,EasternPrevailing
12005,CentralPrevailing
12007,EasternPrevailing
12009,EasternPrevailing
12011,EasternPrevailing
12013,CentralPrevailing
12015,EasternPrevailing
12017,EasternPrevailing
12019,EasternPrevailing
12021,EasternPrevailing
12023,EasternPrevailing
12027,EasternPrevailing
12029,EasternPrevailing
12031,EasternPrevailing
12033,CentralPrevailing
12035,EasternPrevailing
12037,EasternPrevailing
12039,EasternPrevailing
12041,EasternPrevailing
12043,EasternPrevailing
12045,CentralPrevailing
12047,EasternPrevailing
12049,EasternPrevailing
12051,EasternPrevailing
12053,EasternPrevailing
12055,EasternPrevailing
12057,EasternPrevailing
12059,CentralPrevailing
12061,EasternPrevailing
12063,CentralPrevailing
12065,EasternPrevailing
12067,EasternPrevailing
12069,EasternPrevailing
12071,EasternPrevailing
12073,EasternPrevailing
12075,EasternPrevailing
12077,EasternPrevailing
12079,EasternPrevailing
12081,EasternPrevailing
12083,EasternPrevailing
12085,EasternPrevailing
12086,EasternPrevailing
12087,EasternPrevailing
12089,EasternPrevailing
12091,CentralPrevailing
12093,EasternPrevailing
12095,EasternPrevailing
12097,EasternPrevailing
12099,EasternPrevailing
12101,EasternPrevailing
12103,EasternPrevailing
12105,EasternPrevailing
12107,EasternPrevailing
12109,EasternPrevailing
12111,EasternPrevailing
12113,CentralPrevailing
12115,EasternPrevailing
12117,EasternPrevailing
12119,EasternPrevailing
12121,EasternPrevailing
12123,EasternPrevailing
12125,EasternPrevailing
12127,EasternPrevailing
12129,EasternPrevailing
12131,CentralPrevailing
12133,CentralPrevailing
13001,EasternPrevailing
13003,EasternPrevailing
13005,EasternPrevailing
13007,EasternPrevailing
13009,EasternPrevailing
13011,EasternPrevailing
13013,EasternPrevailing
13015,EasternPrevailing
13017,EasternPrevailing
13019,EasternPrevailing
13021,EasternPrevailing
13023,EasternPrevailing
13025,EasternPrevailing
13027,EasternPrevailing
13029,EasternPrevailing
13031,EasternPrevailing
13033,EasternPrevailing
13035,EasternPrevailing
13037,EasternPrevailing
13039,EasternPrevailing
13043,EasternPrevailing
13045,EasternPrevailing
13047,EasternPrevailing
13049,EasternPrevailing
13051,EasternPrevailing
13053,EasternPrevailing
13055,EasternPrevailing
13057,EasternPrevailing
13059,EasternPrevailing
13061,EasternPrevailing
13063,EasternPrevailing
13065,EasternPrevailing
13067,EasternPrevailing
13069,EasternPrevailing
13071,EasternPrevailing
13073,EasternPrevailing
13075,EasternPrevailing
13077,EasternPrevailing
13079,EasternPrevailing
13081,EasternPrevailing
13083,EasternPrevailing
13085,EasternPrevailing
13087,EasternPrevailing
13089,EasternPrevailing
13091,EasternPrevailing
13093,EasternPrevailing
13095,EasternPrevailing
13097,EasternPrevailing
13099,EasternPrevailing
13101,EasternPrevailing
13103,EasternPrevailing
13105,EasternPrevailing
13107,EasternPrevailing
13109,EasternPrevailing
13111,EasternPrevailing
13113,EasternPrevailing
13115,EasternPrevailing
13117,EasternPrevailing
13119,EasternPrevailing
13121,EasternPrevailing
13123,EasternPrevailing
13125,EasternPrevailing
13127,EasternPrevailing
13129,EasternPrevailing
13131,EasternPrevailing
13133,EasternPrevailing
13135,EasternPrevailing
13137,EasternPrevailing
13139,EasternPrevailing
13141,EasternPrevailing
13143,EasternPrevailing
13145,EasternPrevailing
13147,EasternPrevailing
