id,name,state,time_zone
01001,Autauga,AL,CentralPrevailing
01003,Baldwin,AL,CentralPrevailing
01005,Barbour,AL,CentralPrevailing
01007,Bibb,AL,CentralPrevailing
01009,Blount,AL,CentralPrevailing
01011,Bullock,AL,CentralPrevailing
01013,Butler,AL,CentralPrevailing
01015,Calhoun,AL,CentralPrevailing
01017,Chambers,AL,CentralPrevailing
01019,Cherokee,AL,CentralPrevailing
01021,Chilton,AL,CentralPrevailing
01023,Choctaw,AL,CentralPrevailing
01025,Clarke,AL,CentralPrevailing
01027,Clay,AL,CentralPrevailing
01029,Cleburne,AL,CentralPrevailing
01031,Coffee,AL,CentralPrevailing
01033,Colbert,AL,CentralPrevailing
01035,Conecuh,AL,CentralPrevailing
01037,Coosa,AL,CentralPrevailing
01039,Covington,AL,CentralPrevailing
01041,Crenshaw,AL,CentralPrevailing
01043,Cullman,AL,CentralPrevailing
01045,Dale,AL,CentralPrevailing
01047,Dallas,AL,CentralPrevailing
01049,DeKalb,AL,CentralPrevailing
01051,Elmore,AL,CentralPrevailing
01053,Escambia,AL,CentralPrevailing
01055,Etowah,AL,CentralPrevailing
01057,Fayette,AL,CentralPrevailing
01059,Franklin,AL,CentralPrevailing
01061,Geneva,AL,CentralPrevailing
01063,Greene,AL,CentralPrevailing
01065,Hale,AL,CentralPrevailing
01067,Henry,AL,CentralPrevailing
01069,Houston,AL,CentralPrevailing
01071,Jackson,AL,CentralPrevailing
01073,Jefferson,AL,CentralPrevailing
01075,Lamar,AL,CentralPrevailing
01077,Lauderdale,AL,CentralPrevailing
01079,Lawrence,AL,CentralPrevailing
01081,Lee,AL,CentralPrevailing
01083,Limestone,AL,CentralPrevailing
01085,Lowndes,AL,CentralPrevailing
01087,Macon,AL,CentralPrevailing
01089,Madison,AL,CentralPrevailing
01091,Marengo,AL,CentralPrevailing
01093,Marion,AL,CentralPrevailing
01095,Marshall,AL,CentralPrevailing
01097,Mobile,AL,CentralPrevailing
01099,Monroe,AL,CentralPrevailing
01101,Montgomery,AL,CentralPrevailing
01103,Morgan,AL,CentralPrevailing
01105,Perry,AL,CentralPrevailing
01107,Pickens,AL,CentralPrevailing
01109,Pike,AL,CentralPrevailing
01111,Randolph,AL,CentralPrevailing
01113,Russell,AL,CentralPrevailing
01115,St. Clair,AL,CentralPrevailing
01117,Shelby,AL,CentralPrevailing
01119,Sumter,AL,CentralPrevailing
01121,Talladega,AL,CentralPrevailing
01123,Tallapoosa,AL,CentralPrevailing
01125,Tuscaloosa,AL,CentralPrevailing
01127,Walker,AL,CentralPrevailing
01129,Washington,AL,CentralPrevailing
01131,Wilcox,AL,CentralPrevailing
01133,Winston,AL,CentralPrevailing
04001,Apache,AZ,USArizona
04003,Cochise,AZ,USArizona
04005,Coconino,AZ,USArizona
04007,Gila,AZ,USArizona
04009,Graham,AZ,USArizona
04011,Greenlee,AZ,USArizona
04012,La Paz,AZ,USArizona
04013,Maricopa,AZ,USArizona
04015,Mohave,AZ,USArizona
04017,Navajo,AZ,MountainPrevailing
04019,Pima,AZ,USArizona
04021,Pinal,AZ,USArizona
04023,Santa Cruz,AZ,USArizona
04025,Yavapai,AZ,USArizona
04027,Yuma,AZ,USArizona
05001,Arkansas,AR,CentralPrevailing
05003,Ashley,AR,CentralPrevailing
05005,Baxter,AR,CentralPrevailing
05007,Benton,AR,CentralPrevailing
05009,Boone,AR,CentralPrevailing
05011,Bradley,AR,CentralPrevailing
05013,Calhoun,AR,CentralPrevailing
05015,Carroll,AR,CentralPrevailing
05017,Chicot,AR,CentralPrevailing
