id,fuel_id,name,unit
district_cooling_cooling,electricity,District Cooling Cooling,kWh
district_heating_heating,natural_gas,District Heating Heating,kWh
district_heating_water_systems,natural_gas,District Heating Water Systems,kWh
electricity_bath_fan,electricity,Electricity Bath Fan,kWh
electricity_ceiling_fan,electricity,Electricity Ceiling Fan,kWh
electricity_clothes_dryer,electricity,Electricity Clothes Dryer,kWh
electricity_clothes_washer,electricity,Electricity Clothes Washer,kWh
electricity_cooking_range,electricity,Electricity Cooking Range,kWh
electricity_cooling,electricity,Electricity Cooling,kWh
electricity_dishwasher,electricity,Electricity Dishwasher,kWh
electricity_ev_dcfc,electricity,Electricity Ev Dcfc,kWh
electricity_ev_l1l2,electricity,Electricity Ev L1L2,kWh
electricity_exterior_holiday_lighting,electricity,Electricity Exterior Holiday Lighting,kWh
electricity_exterior_lighting,electricity,Electricity Exterior Lighting,kWh
electricity_extra_refrigerator,electricity,Electricity Extra Refrigerator,kWh
electricity_fans,electricity,Electricity Fans,kWh
electricity_fans_cooling,electricity,Electricity Fans Cooling,kWh
electricity_fans_heating,electricity,Electricity Fans Heating,kWh
electricity_freezer,electricity,Electricity Freezer,kWh
electricity_garage_lighting,electricity,Electricity Garage Lighting,kWh
electricity_heat_recovery,electricity,Electricity Heat Recovery,kWh
electricity_heat_rejection,electricity,Electricity Heat Rejection,kWh
electricity_heating,electricity,Electricity Heating,kWh
electricity_heating_supplemental,electricity,Electricity Heating Supplemental,kWh
electricity_hot_tub_heater,electricity,Electricity Hot Tub Heater,kWh
electricity_hot_tub_pump,electricity,Electricity Hot Tub Pump,kWh
electricity_house_fan,electricity,Electricity House Fan,kWh
electricity_interior_equipment,electricity,Electricity Interior Equipment,kWh
electricity_interior_lighting,electricity,Electricity Interior Lighting,kWh
electricity_plug_loads,electricity,Electricity Plug Loads,kWh
electricity_pool_heater,electricity,Electricity Pool Heater,kWh
electricity_pool_pump,electricity,Electricity Pool Pump,kWh
electricity_pumps,electricity,Electricity Pumps,kWh
electricity_pumps_cooling,electricity,Electricity Pumps Cooling,kWh
electricity_pumps_heating,electricity,Electricity Pumps Heating,kWh
electricity_range_fan,electricity,Electricity Range Fan,kWh
electricity_recirc_pump,electricity,Electricity Recirc Pump,kWh
electricity_refrigeration,electricity,Electricity Refrigeration,kWh
electricity_refrigerator,electricity,Electricity Refrigerator,kWh
electricity_water_systems,electricity,Electricity Water Systems,kWh
electricity_well_pump,electricity,Electricity Well Pump,kWh
fuel_oil_heating,fuel_oil,Fuel Oil Heating,kWh
fuel_oil_water_systems,fuel_oil,Fuel Oil Water Systems,kWh
natural_gas_clothes_dryer,natural_gas,Natural Gas Clothes Dryer,kWh
natural_gas_cooking_range,natural_gas,Natural Gas Cooking Range,kWh
natural_gas_fireplace,natural_gas,Natural Gas Fireplace,kWh
natural_gas_grill,natural_gas,Natural Gas Grill,kWh
natural_gas_heating,natural_gas,Natural Gas Heating,kWh
natural_gas_hot_tub_heater,natural_gas,Natural Gas Hot Tub Heater,kWh
natural_gas_interior_equipment,natural_gas,Natural Gas Interior Equipment,kWh
natural_gas_lighting,natural_gas,Natural Gas Lighting,kWh
natural_gas_pool_heater,natural_gas,Natural Gas Pool Heater,kWh
natural_gas_water_systems,natural_gas,Natural Gas Water Systems,kWh
propane_clothes_dryer,propane,Propane Clothes Dryer,kWh
propane_cooking_range,propane,Propane Cooking Range,kWh
propane_heating,propane,Propane Heating,kWh
propane_water_systems,propane,Propane Water Systems,kWh
wood_heating,wood,Wood Heating,kWh
electricity_unspecified,electricity,Electricity Unspecified,kWh
