id,name
"MediumOffice","Medium Office"
"SecondarySchool","Secondary School"
"Outpatient","Outpatient"
"Hospital","Hospital"
"QuickServiceRestaurant","Quick Service Restaurant"
"Warehouse","Warehouse"
"SmallOffice","Small Office"
"PrimarySchool","Primary School"
"LargeHotel","Large Hotel"
"FullServiceRestaurant","Full Service Restaurant"
"RetailStripmall","Retail Stripmall"
"RetailStandalone","Retail Standalone"
"LargeOffice","Large Office"
"SmallHotel","Small Hotel"
"Mobile Home","Mobile Home"
"Multi-Family with 2 - 4 Units","Multi-Family with 2 - 4 Units"
"Multi-Family with 5+ Units","Multi-Family with 5+ Units"
"Single-Family Attached","Single-Family Attached"
"Single-Family Detached","Single-Family Detached"
"CompactBEV", "Compact BEV"
"MidsizeBEV", "Midsize BEV"
"SUVBEV","SUV BEV"
"PickupBEV","PickupBEV"
