id,name,pca_region
1,1,2
2,2,1
3,3,1
4,4,1
5,5,2
6,6,3
7,7,4
8,8,3
9,9,2
10,10,5
11,11,5
12,12,5
13,13,5
14,14,6
15,15,6
16,16,5
17,17,5
18,18,7
19,19,7
20,20,9
21,21,8
22,22,9
23,23,9
24,24,9
25,25,9
26,26,9
27,27,9
28,28,10
29,29,9
30,30,10
31,31,10
32,32,11
33,33,10
34,34,12
35,35,12
36,36,12
37,37,12
38,38,12
39,39,12
40,40,13
41,41,14
42,42,15
43,43,15
44,44,15
45,45,15
46,46,16
47,47,16
48,48,25
49,49,25
50,50,26
51,51,25
52,52,25
53,53,27
54,54,28
55,55,29
56,56,28
57,57,28
58,58,30
59,59,28
60,60,17
61,61,17
62,62,17
63,63,17
64,64,18
65,65,18
66,66,20
67,67,18
68,68,19
69,69,20
70,70,21
71,71,21
72,72,22
73,73,23
74,74,24
75,75,33
76,76,33
77,77,34
78,78,34
79,79,33
80,80,33
81,81,33
82,82,33
83,83,34
84,84,34
85,85,33
86,86,34
87,87,34
88,88,31
89,89,31
90,90,31
91,91,31
92,92,31
93,93,31
94,94,59
95,95,32
96,96,35
97,97,36
98,98,36
99,99,37
100,100,36
101,101,36
102,102,37
103,103,37
104,104,38
105,105,38
106,106,38
107,107,38
108,108,38
109,109,38
110,110,38
111,111,38
112,112,38
113,113,38
114,114,39
115,115,39
116,116,40
117,117,40
118,118,40
119,119,41
120,120,42
121,121,43
122,122,44
123,123,44
124,124,43
125,125,43
126,126,43
127,127,43
128,128,43
129,129,46
130,130,46
131,131,46
132,132,45
133,133,69
134,134,45
135,135,52
136,136,53
137,137,53
138,138,53
139,139,53
140,140,53
141,141,53
142,142,53
143,143,53
144,144,54
145,145,54
146,146,55
147,147,55
148,148,47
149,149,48
150,150,48
151,151,57
152,152,49
153,153,50
154,154,50
155,155,50
156,156,50
157,157,51
158,158,50
159,159,56
160,160,56
161,161,58
162,162,58
163,163,61
164,164,62
165,165,60
166,166,61
167,167,63
168,168,63
169,169,63
170,170,63
171,171,64
172,172,65
173,173,65
174,174,65
175,175,67
176,176,68
177,177,69
178,178,70
179,179,70
180,180,70
181,181,70
182,182,70
183,183,70
184,184,71
185,185,72
186,186,73
187,187,84
188,188,84
189,189,72
190,190,72
191,191,74
192,192,75
193,193,76
194,194,77
195,195,78
196,196,76
197,197,75
198,198,79
199,199,80
200,200,81
201,201,81
202,202,81
203,203,82
204,204,81
205,205,81
206,206,80
207,207,80
208,208,83
209,209,83
210,210,83
211,211,103
212,212,103
213,213,104
214,214,103
215,215,103
216,216,103
217,217,103
218,218,103
219,219,105
220,220,105
221,221,105
222,222,105
223,223,106
224,224,107
225,225,105
226,226,105
227,227,111
228,228,112
229,229,112
230,230,113
231,231,114
232,232,112
233,233,112
234,234,111
235,235,112
236,236,108
237,237,109
238,238,109
239,239,109
240,240,109
241,241,109
242,242,110
243,243,118
244,244,118
245,245,118
246,246,117
247,247,117
248,248,117
249,249,116
250,250,116
251,251,115
252,252,115
253,253,121
254,254,120
255,255,119
256,256,66
257,257,85
258,258,85
259,259,85
260,260,86
261,261,58
262,262,87
263,263,88
264,264,87
265,265,89
266,266,89
267,267,90
268,268,90
269,269,91
270,270,91
271,271,91
272,272,94
273,273,94
274,274,94
275,275,94
276,276,92
277,277,92
278,278,92
279,279,92
280,280,92
281,281,92
282,282,92
283,283,92
284,284,92
285,285,92
286,286,93
287,287,93
288,288,97
289,289,97
290,290,97
291,291,98
292,292,98
293,293,98
294,294,98
295,295,95
296,296,96
297,297,96
298,298,96
299,299,96
300,300,99
301,301,100
302,302,99
303,303,99
304,304,99
305,305,99
306,306,99
307,307,99
308,308,116
309,309,101
310,310,101
311,311,101
312,312,101
313,313,102
314,314,124
315,315,123
316,316,123
317,317,123
318,318,125
319,319,125
320,320,122
321,321,122
322,322,122
323,323,122
324,324,122
325,325,122
326,326,122
327,327,122
328,328,126
329,329,126
330,330,126
331,331,126
332,332,126
333,333,127
334,334,127
335,335,127
336,336,127
337,337,127
338,338,127
339,339,127
340,340,127
341,341,127
342,342,128
343,343,132
344,344,132
345,345,133
346,346,133
347,347,131
348,348,131
349,349,131
350,350,129
351,351,129
352,352,129
353,353,130
354,354,130
355,355,134
356,356,134
