id,name,fuel_id,unit
electricity_bath_fan,Bath Fan,electricity,MWh
electricity_ceiling_fan,Ceiling Fan,electricity,MWh
electricity_clothes_dryer,Clothes Dryer,electricity,MWh
electricity_clothes_washer,Clothes Washer,electricity,MWh
electricity_cooking_range,Cooking Range,electricity,MWh
electricity_cooling,Cooling,electricity,MWh
electricity_dishwasher,Dishwasher,electricity,MWh
electricity_exterior_holiday_lighting,Exterior Holiday Lighting,electricity,MWh
electricity_exterior_lighting,Exterior Lighting,electricity,MWh
electricity_extra_refrigerator,Extra Refrigerator,electricity,MWh
electricity_fans_cooling,Fans Cooling,electricity,MWh
electricity_fans_heating,Fans Heating,electricity,MWh
electricity_freezer,Freezer,electricity,MWh
electricity_garage_lighting,Garage Lighting,electricity,MWh
electricity_heating,Heating,electricity,MWh
electricity_heating_supplemental,Heating Supplemental,electricity,MWh
electricity_hot_tub_heater,Hot Tub Heater,electricity,MWh
electricity_hot_tub_pump,Hot Tub Pump,electricity,MWh
electricity_house_fan,House Fan,electricity,MWh
electricity_interior_lighting,Interior Lighting,electricity,MWh
electricity_plug_loads,Plug Loads,electricity,MWh
electricity_pool_heater,Pool Heater,electricity,MWh
electricity_pool_pump,Pool Pump,electricity,MWh
electricity_pumps_cooling,Pumps Cooling,electricity,MWh
electricity_pumps_heating,Pumps Heating,electricity,MWh
electricity_range_fan,Range Fan,electricity,MWh
electricity_recirc_pump,Recircuation Pump,electricity,MWh
electricity_refrigerator,Refrigerator,electricity,MWh
electricity_water_systems,Water Systems,electricity,MWh
electricity_well_pump,Well Pump,electricity,MWh
fuel_oil_heating,Heating,fuel_oil,MBtu
fuel_oil_water_systems,Water Systems,fuel_oil,MBtu
natural_gas_clothes_dryer,Clothes Dryer,natural_gas,MBtu
natural_gas_cooking_range,Cooking Range,natural_gas,MBtu
natural_gas_fireplace,Fireplace,natural_gas,MBtu
natural_gas_grill,Grill,natural_gas,MBtu
natural_gas_heating,Heating,natural_gas,MBtu
natural_gas_hot_tub_heater,Hot Tub Heater,natural_gas,MBtu
natural_gas_lighting,Lighting,natural_gas,MBtu
natural_gas_pool_heater,Pool Heater,natural_gas,MBtu
natural_gas_water_systems,Water Systems,natural_gas,MBtu
propane_clothes_dryer,Clothes Dryer,propane,MBtu
propane_cooking_range,Cooking Range,propane,MBtu
propane_heating,Heating,propane,MBtu
propane_water_systems,Water Systems,propane,MBtu
wood_heating,Heating,wood,MBtu
