id,name,is_conus,census_division,census_region
AL,Alabama,True,east_south_central,south
AR,Arkansas,True,west_south_central,south
AZ,Arizona,True,mountain,west
CA,California,True,pacific,west
CO,Colorado,True,mountain,west
CT,Connecticut,True,new_england,northeast
DC,District of Columbia,True,south_atlantic,south
DE,Delaware,True,south_atlantic,south
FL,Florida,True,south_atlantic,south
GA,Georgia,True,south_atlantic,south
IA,Iowa,True,west_north_central,midwest
ID,Idaho,True,mountain,west
IL,Illinois,True,east_north_central,midwest
IN,Indiana,True,east_north_central,midwest
KS,Kansas,True,west_north_central,midwest
KY,Kentucky,True,east_south_central,south
LA,Louisiana,True,west_south_central,south
MA,Massachusetts,True,new_england,northeast
MD,Maryland,True,south_atlantic,south
ME,Maine,True,new_england,northeast
MI,Michigan,True,east_north_central,midwest
MN,Minnesota,True,west_north_central,midwest
MO,Missouri,True,west_north_central,midwest
MS,Mississippi,True,east_south_central,south
MT,Montana,True,mountain,west
NC,North Carolina,True,south_atlantic,south
ND,North Dakota,True,west_north_central,midwest
NE,Nebraska,True,west_north_central,midwest
NH,New Hampshire,True,new_england,northeast
NJ,New Jersey,True,mid_atlantic,northeast
NM,New Mexico,True,mountain,west
NV,Nevada,True,mountain,west
NY,New York,True,mid_atlantic,northeast
OH,Ohio,True,east_north_central,midwest
OK,Oklahoma,True,west_south_central,south
OR,Oregon,True,pacific,west
PA,Pennsylvania,True,mid_atlantic,northeast
RI,Rhode Island,True,new_england,northeast
SC,South Carolina,True,south_atlantic,south
SD,South Dakota,True,west_north_central,midwest
TN,Tennessee,True,east_south_central,south
TX,Texas,True,west_south_central,south
UT,Utah,True,mountain,west
VA,Virginia,True,south_atlantic,south
VT,Vermont,True,new_england,northeast
WA,Washington,True,pacific,west
WI,Wisconsin,True,east_north_central,midwest
WV,West Virginia,True,south_atlantic,south
WY,Wyoming,True,mountain,west
