from_id,to_id
full_service_restaurant,commercial_subsectors
hospital,commercial_subsectors
large_hotel,commercial_subsectors
large_office,commercial_subsectors
medium_office,commercial_subsectors
outpatient,commercial_subsectors
primary_school,commercial_subsectors
quick_service_restaurant,commercial_subsectors
retail_standalone,commercial_subsectors
retail_stripmall,commercial_subsectors
secondary_school,commercial_subsectors
small_hotel,commercial_subsectors
small_office,commercial_subsectors
warehouse,commercial_subsectors
mobile_home,residential_subsectors
multifamily_2_to_4_units,residential_subsectors
multifamily_5_plus_units,residential_subsectors
single_family_attached,residential_subsectors
single_family_detached,residential_subsectors
bev_compact,transportation_subsectors
bev_midsize,transportation_subsectors
bev_pickup,transportation_subsectors
bev_suv,transportation_subsectors
phev_compact,transportation_subsectors
phev_midsize,transportation_subsectors
phev_pickup,transportation_subsectors
phev_suv,transportation_subsectors
